client_name,area,customer_category
Nihi Sumba (Espresso Cup & Saucer),,
Nihi Sumba (Espresso cup brown engobe),,
Nihi Sumba (Espresso cup line pattern),,
Nihi Sumba (F&B Outlet),,
Nihi Sumba (LAMP),,
Nihi Sumba (Milk Pitcher),,
Nihi Sumba (Mug),,
Nihi Sumba (Sugar Bowl),,
"Nihi Sumba (Sugar Bowl, Wooden Spoon & Wooden Tray)",,
Nihi Sumba (Sugar Container),,
Nihi Sumba - Butter Dish,,
Nihi Sumba - Inroom ,,
Nihi Sumba - Sugar Container (revision),,
Nihi Sumba BnB Plate,,
Nihi Sumba Kaboku,,
Nihi Sumba Milk Pitcher,,
Nihi Sumba SAMPLE,,
Nihii Rote Tea Set,,
Novotel Bali Benoa,,
Nusa Dua Beach - Additional,,
Nusa Dua Beach Hotel,,
Nusa Dua Beach Hotel ,,
Nusa Dua Beach Hotel & SPA,,
Nusa Dua Beach Hotel (Welcome Drink),,
Nusa Dua Beach Hotel (new order),,
Nusa Dua Beach Hotel - Additional,,
Nusa Dua Beach Hotel Additional,,
Nusa Penida Beach Resort - Inroom,,
Nusa Penida Beach Resort - Restaurant,,
Oberoi Bali,,
Omma Bali ,,
Omma Day Club Bali,,
Ootoya Jakarta,,
Optimist Pererenan - Additional,,
PT Indoguna RnB Steak,,
PT Indoguna Utama,,
PT Lombok Kulina Utama,,
Pablo Long Time Restaurant (Oval Plate),,
Pablo Long Time Restaurant (Sake Set),,
Pablo Long Time Restaurant - Additional,,
Pablo Long time Asian Restaurant (Oval Plate),,
Pablo Longtime Restaurant,,
Pablo Longtime Restaurant (Cup),,
Pablo Longtime Restaurant - Additional,,
Pablo Longtime Restaurant - Cup,,
Pahdi Speciality Coffee (New),,
Pahdi Speciality Coffee - BBQ,,
Pak Dio Personal Order,,
Pan Pacific Hotel (Park Royal) - Keyaki,,
Pan Pasicif (Park Royal) - Keyaki,,
Pan Pasific Good Stock,,
Paola Buendia,,
Park Hyatt Jakarta ,,
Park Hyatt Jakarta (Lotus Decoration & Plate Stand),,
Park Hyatt Jakarta (Plates Additional),,
Potato Head,,
R&B Steak Bali,,
R&B Steak Palembang,,
Raffles Bahrain,,
Raffles Bali (Ashtray),,
Raffles Hotel Singapore,,
Raffles Singapore ,,
Rayjin,,
Rayjin Bali,,
Regen Canggu Ashtray & Dulang,,
Regent Canggu (Reed Diffuser),,
Regent Canggu (Welcome Drink Tray),,
Regent Canggu - All Day Dining,,
Regent Canggu Ashtray,,
Regent Canggu Inroom Self Decoration - Bedroom Suites,,
Regent Canggu Inroom Self Decoration - Studio Suites,,
Regent Canggu Mini Bar,,
Regent Canggu Public Area,,
Regent Canggu Public Area Bathroom,,
Regent Canggu TIKI,,
Regent Canggu VIP Amenities,,
Regent Canggu Vanity Counter,,
Regent Canggu Welcome drinks tray,,
Revolver Airport - Domestic,,
Revolver Airport - International,,
Revolver Airport Domestic,,
Revolver Airport International,,
Revolver International Airport,,
Revolver Seminyak,,
Revolver Umalas,,
Revolver Umalas SAMPLE,,
Ritz Carlton Bahrain - Cantina Kahlo,,
Ritz Carlton Bali (Oil Burner),,
Ritz Carlton Bali (repeat order),,
Ritz Carlton Bali Beach Grill,,
Ritz Carlton Bali Bejana,,
Ritz Carlton Mega Kuningan,,
Ritz Carlton Nusa Dua - Inroom,,
Ritz-Carlton Pacific Place Jakarta,,
Riviera Cafe,,
Riviera Pererenan (Sharing Plate),,
Riviera Pererenan Additional (Peanut Bowl),,
Riviera Pererenan Cup,,
Riviera Pererenan Peanut Bowl,,
Roso Meru Restaurant,,
ST Regis Bali (SAMPLE),,
Samabe,,
Samabe Luxury Resort,,
Samanvaya Additional,,
Samara Boat,,
Samara Lombok ,,
Savaya (Café Kitsune),,
Sazon,,
Sazon SAMPLE (Wine Bucket),,
Shelter - Pererenan,,
Shelter - Salt and pepper,,
Shelter Canggu - Saucer,,
Shelter Cocktail Range,,
Shelter Pererenan ,,
Shelter Pererenan (Item Sharing Plate),,
Shelter Pererenan - Additional ,,
Shelter Pererenan - Cocktail Range,,
Shelter Pererenan - Saucer ,,
Shelter Seminyak (Ramekin),,
ShiShi Seminyak,,
Si Jin,,
Sijin (Kalpataru),,
Simon & Son's SAMPLE,,
Sindalah Autograph,,
Sindalah Luxury ,,
Six Sense Kanuhura (Pump),,
Six Sense London Bamboo Retail,,
Six Sense London Bamboo SPA,,
Six Sense London Link,,
Six Sense Residence London,,
Six Sense Southern Dunes - Inroom,,
Six Sense Uluwatu,,
Six Sense Uluwatu (Pump),,
Six Senses Krabey (Updated),,
Six Senses Uluwatu,,
Six Senses Uluwatu ,,
Six Senses Uluwatu (New Bottle),,
Six Senses Uluwatu (Pump),,
Sofitel,,
Soichiro (Sake Set),,
Solana,,
Solana Retreat Ubud,,
St Regis Bali SAMPLE,,
St Regis Jakarta,,
St Regis Jakarta (Japanese Restaurant) Pak Tommy,,
St Regis Jakarta SAMPLE,,
Suarga,,
Suarga (Defuser),,
Suarga - Defuser,,
Suarga Padang Padang,,
Sudamala Resort,,
Surasang Restaurant,,
Sushi Tei Bandung,,
Swissotel Jakarta,,
Swissotel Jakarta (Chinesse Tea Pot),,
Swissotel PIK Jakarta,,
TS Suites Seminyak (Price Indication),,
Tabula Rasa Lombok (Updated),,
Tabula Rasa Lombok - BAR,,
Tabula Rasa Lombok - Beach,,
Tabula Rasa Lombok - Lunch & Dinner ,,
Tabula Rasa Lombok SAMPLE,,
Tabula Rasa SAMPLE,,
Tanadewa,,
Tanadewa Ubud,,
Tejaprana Bisma Ubud (HK),,
Tejaprana Resort and Spa - FBS,,
Tejaprana Resort and Spa - HK,,
Tejaprana Resort and Spa - Kitchen,,
The Apurva Kempinski Bali - Additional,,
The Apurva Kempinski Bali - Koral,,
The Apurva Kempinski Bali - Koral Additional,,
The Apurva Kempinski Bali - Oku,,
The Apurva Kempinski Bali - Oku Additional,,
The Apurva Kempinski Bali - Reef,,
The Apurva Kempinski Bali - Reef ,,
The Apurva Kempinski Bali - Reef Additional,,
The Apurva Kempinski Bali - Selasar,,
The Apurva Kempinski Bali - Selasar Additional,,
The Apurva Kempinski Bali Koral,,
The Apurva Kempinski Bali Koral (SAMPLE),,
The Edge (Ramekin Dish),,
The Edge (cone),,
The Kayon Ubud,,
The Kemilau ,,
The Laguna,,
The Laguna Hotel Bali,,
The Lemon Tree Curacao (2 Outlet),,
The Lemon Tree Curcao - Chef's Table,,
The Lemon Tree Curcao - Momo Restaurant,,
The Lynx Jakarta,,
The Melia Sante (Moodboard),,
The Meru - Add Item ,,
The Meru - Repeat Item,,
The Meru Decorative,,
The Meru Sanur ,,
The Meru Sanur - Decorative,,
The Oberoi Bali,,
The Oberoi Sample Candle,,
The Ritz Carlton Maldives ,,
The Ritz Carlton Maldives - Inroom,,
