ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-05-31,19733.363054382888,10739.21628246865,17321.039076069334,19733.363054382888,19733.363054382888,-5772.436026871365,-5772.436026871365,-5772.436026871365,-5772.436026871365,-5772.436026871365,-5772.436026871365,0.0,0.0,0.0,13960.927027511523
2024-06-30,19850.258140008576,20815.11331958982,27484.904283922886,19850.258140008576,19850.258140008576,4272.907027824963,4272.907027824963,4272.907027824963,4272.907027824963,4272.907027824963,4272.907027824963,0.0,0.0,0.0,24123.16516783354
2024-07-31,19971.04972824701,12639.258028125088,18995.693036209963,19971.04972824701,19971.04972824701,-4011.498622858864,-4011.498622858864,-4011.498622858864,-4011.498622858864,-4011.498622858864,-4011.498622858864,0.0,0.0,0.0,15959.551105388146
2024-08-31,20091.841315936883,12617.601752589053,19231.562272398183,20091.841315936883,20091.841315936883,-4104.586428986363,-4104.586428986363,-4104.586428986363,-4104.586428986363,-4104.586428986363,-4104.586428986363,0.0,0.0,0.0,15987.254886950519
2024-09-30,20208.736401222683,16625.748081112662,23120.35049687983,20208.736401222683,20208.736401222683,-419.4353800757062,-419.4353800757062,-419.4353800757062,-419.4353800757062,-419.4353800757062,-419.4353800757062,0.0,0.0,0.0,19789.301021146977
2024-10-31,20329.527988751488,18168.253695611584,24526.7725808828,20329.527988751488,20329.527988751488,957.9014598223761,957.9014598223761,957.9014598223761,957.9014598223761,957.9014598223761,957.9014598223761,0.0,0.0,0.0,21287.429448573865
2024-11-30,20446.423072613954,15656.40069642249,22266.96791723959,20446.423072613954,20446.423072613954,-1544.8914251272945,-1544.8914251272945,-1544.8914251272945,-1544.8914251272945,-1544.8914251272945,-1544.8914251272945,0.0,0.0,0.0,18901.53164748666
2024-12-31,20567.214469575545,19939.704476583545,26696.24033999457,20567.214469575545,20567.214469575545,2510.09999235979,2510.09999235979,2510.09999235979,2510.09999235979,2510.09999235979,2510.09999235979,0.0,0.0,0.0,23077.314461935333
2025-01-31,20688.005866461357,12227.458477172517,18706.967650446182,20688.005866461357,20688.005866461357,-5083.257633110376,-5083.257633110376,-5083.257633110376,-5083.257633110376,-5083.257633110376,-5083.257633110376,0.0,0.0,0.0,15604.74823335098
2025-02-28,20797.107773325963,8776.024252238583,15457.459650339975,20797.107773325963,20797.107773325963,-8583.755881741872,-8583.755881741872,-8583.755881741872,-8583.755881741872,-8583.755881741872,-8583.755881741872,0.0,0.0,0.0,12213.35189158409
2025-03-31,20917.89917021177,20917.167570928847,27280.481846910272,20917.89917021177,20917.89917021177,3213.336937201652,3213.336937201652,3213.336937201652,3213.336937201652,3213.336937201652,3213.336937201652,0.0,0.0,0.0,24131.236107413424
2025-04-30,21034.79407042385,10993.768117983236,17552.879347405993,21034.79407042385,21034.79407042385,-6928.620789554197,-6928.620789554197,-6928.620789554197,-6928.620789554197,-6928.620789554197,-6928.620789554197,0.0,0.0,0.0,14106.173280869654
2025-05-31,21155.585467309662,15348.855616997535,22005.860376395907,21155.585467309662,21155.585467309662,-2475.4829478089264,-2475.4829478089264,-2475.4829478089264,-2475.4829478089264,-2475.4829478089264,-2475.4829478089264,0.0,0.0,0.0,18680.102519500735
2025-06-30,21272.48036752174,18361.901431910588,24832.294869998113,21272.48036752174,21272.48036752174,354.7463309177974,354.7463309177974,354.7463309177974,354.7463309177974,354.7463309177974,354.7463309177974,0.0,0.0,0.0,21627.22669843954
2025-07-31,21393.271764407553,17533.61195799032,24275.511916256426,21393.2717522044,21393.271776553214,-506.9534290326529,-506.9534290326529,-506.9534290326529,-506.9534290326529,-506.9534290326529,-506.9534290326529,0.0,0.0,0.0,20886.3183353749
2025-08-31,21514.063161293365,14656.07714808264,21375.336046464785,21514.063125169643,21514.063201676654,-3660.046865997736,-3660.046865997736,-3660.046865997736,-3660.046865997736,-3660.046865997736,-3660.046865997736,0.0,0.0,0.0,17854.01629529563
2025-09-30,21630.958061505444,16024.74980615562,22546.60629305344,21630.95798723325,21630.958139198065,-2328.9795402422083,-2328.9795402422083,-2328.9795402422083,-2328.9795402422083,-2328.9795402422083,-2328.9795402422083,0.0,0.0,0.0,19301.978521263234
2025-10-31,21751.749458391256,18325.275245686207,24789.48080375192,21751.749342018025,21751.749573659956,-95.20752350110989,-95.20752350110989,-95.20752350110989,-95.20752350110989,-95.20752350110989,-95.20752350110989,0.0,0.0,0.0,21656.541934890145
2025-11-30,21868.64435860333,18846.520150852302,25360.28304508515,21868.644197465583,21868.644521262628,62.222133136064244,62.222133136064244,62.222133136064244,62.222133136064244,62.222133136064244,62.222133136064244,0.0,0.0,0.0,21930.866491739394
2025-12-31,21989.435755489147,18710.62297206658,25746.776942050637,21989.435553807474,21989.435976011544,145.21979648659328,145.21979648659328,145.21979648659328,145.21979648659328,145.21979648659328,145.21979648659328,0.0,0.0,0.0,22134.65555197574
