Date,Company_Name,Brand_Name,Symbol Currency,Sub Total,VAT Amount,Total,Customer_Category,Trade_Type,Status,
01 Mar 2024,Bukit Uluwatu Villa,Alila Uluwatu,Rp,"3,840,000.","422,400.","4,262,400.",Hotel,Local,Terproses,
09 Apr 2024,Bukit Uluwatu Villa,Alila Uluwatu,Rp,"16,250,000.","1,787,500.","18,037,500.",Hotel,Local,Terproses,
12 Apr 2024,Bukit Uluwatu Villa,Alila Uluwatu,Rp,"17,400,000.","1,914,000.","19,314,000.",Hotel,Local,Terproses,
18 Jul 2024,Bukit Uluwatu Villa,Alila Uluwatu,Rp,"256,319,500.","28,195,145.","284,514,645.",Hotel,Local,Terproses,
27 May 2024,Bumi Canggu Nusantara,Motel Mexicola Canggu,Rp,"27,150,000.","2,986,500.","30,136,500.",Restaurant,Local,Terproses,
02 Oct 2024,Bumi Canggu Nusantara,Motel Mexicola Canggu,Rp,"13,625,000.","1,498,750.","15,123,750.",Restaurant,Local,Terproses,
29 Nov 2024,Bumi Canggu Nusantara,Motel Mexicola Canggu,Rp,"13,690,000.","1,505,900.","15,195,900.",Restaurant,Local,Terproses,
21 Feb 2025,Byus Management Group,Miss Fish Canggu,Rp,"2,700,000.","297,000.","2,997,000.",Restaurant,Local,Terproses,
23 May 2024,"CPRC (Maldives) Pvt, Ltd (Ritz Carlton Maldives)",Ritz Carlton Maldives,$,"5,075.",0.,"5,075.",Hotel,Export,Terproses,
06 Aug 2024,"CPRC (Maldives) Pvt, Ltd (Ritz Carlton Maldives)",Ritz Carlton Maldives,$,"1,637.5",0.,"1,637.5",Hotel,Export,Terproses,
07 Aug 2024,"CPRC (Maldives) Pvt, Ltd (Ritz Carlton Maldives)",Ritz Carlton Maldives,$,"5,158.5",0.,"5,158.5",Hotel,Export,Terproses,
20 Nov 2024,"CPRC (Maldives) Pvt, Ltd (Ritz Carlton Maldives)",Ritz Carlton Maldives,$,375.,0.,375.,Hotel,Export,Terproses,
20 Nov 2024,"CPRC (Maldives) Pvt, Ltd (Ritz Carlton Maldives)",Ritz Carlton Maldives,$,825.,0.,825.,Hotel,Export,Terproses,
20 Nov 2024,"CPRC (Maldives) Pvt, Ltd (Ritz Carlton Maldives)",Ritz Carlton Maldives,$,950.,0.,950.,Hotel,Export,Terproses,
24 Jan 2024,Cahaya Warna Prima,Six Sense Uluwatu,Rp,"20,000,000.","2,200,000.","22,200,000.",Hotel,Local,Terproses,
13 Aug 2024,Cahaya Warna Prima,Six Sense Uluwatu,Rp,"8,000,000.","880,000.","8,880,000.",Hotel,Local,Terproses,
09 Dec 2024,Cahaya Warna Prima,Six Sense Uluwatu,Rp,"159,600,000.","17,556,000.","177,156,000.",Hotel,Local,Terproses,
17 Feb 2024,Cakrawala Bima Pratiwi,Abisena,Rp,"159,350,000.","16,652,075.","168,034,575.",Hotel,Local,Terproses,
13 Feb 2025,Cap Karoso Development,Cap Karoso,Rp,"245,200,000.","26,972,000.","272,172,000.",Hotel,Local,Terproses,
13 Mar 2025,Cap Karoso Development,Cap Karoso,Rp,"28,713,750.","3,158,513.","31,872,263.",Hotel,Local,Terproses,
05 Apr 2024,Capella Singapore,Capella,$,"1,830.",0.,"1,830.",Hotel,Export,Menunggu diproses,
12 Apr 2024,Capella Sydney,Brasserie 1938 Capella Sydney (HPG International H,$,"10,065.",0.,"10,065.",Hotel,Export,Terproses,
10 Sep 2024,"Cayo Rosario Partners, LLC c/o The Parker Company, LLC",The Parker Company,$,0.,0.,0.,Hotel,Export,Menunggu diproses,
18 Feb 2025,Cempaka Interior,Cempaka Interior,Rp,"8,160,000.","897,600.","9,057,600.",Agent,Local,Terproses,
13 Jan 2025,"Cipaku Boga Utama, CV",Cipaku Boga Utama,Rp,"20,140,000.","2,215,400.","22,355,400.",Restaurant,Umum,Terproses,
31 Jan 2025,"Cipaku Boga Utama, CV",Cipaku Boga Utama,Rp,"122,040,000.","13,424,400.","135,464,400.",Restaurant,Umum,Terproses,
29 Nov 2024,Citra Jimbaran Indah Hotel,Intercontinental Bali Resort,Rp,"7,800,000.","858,000.","8,658,000.",Hotel,Local,Terproses,
06 Jan 2025,Citra Jimbaran Indah Hotel,Intercontinental Bali Resort,Rp,"24,000,000.","2,640,000.","26,640,000.",Hotel,Local,Terproses,
26 Dec 2024,"Citra Kirana Pantai, PT",Swissotel Jakarta PIK Avenue,Rp,"25,300,000.","2,783,000.","28,083,000.",Hotel,Umum,Terproses,
26 Dec 2024,"Citra Kirana Pantai, PT",Swissotel Jakarta PIK Avenue,Rp,"15,400,000.","1,694,000.","17,094,000.",Hotel,Umum,Terproses,
14 Oct 2024,Colamoed Properties Management,Le Reserve,Rp,"16,650,000.","1,831,500.","18,481,500.",Restaurant,Local,Terproses,
27 Dec 2024,DOPA,DOPA,$,26.5,0.,26.5,Restaurant,Export,Menunggu diproses,
19 Jun 2024,Da Maria,Da Maria,Rp,"1,890,000.","207,900.","2,097,900.",Restaurant,Local,Terproses,
02 Sep 2024,Da Maria,Da Maria,Rp,"244,950,000.","26,944,500.","271,894,500.",Restaurant,Local,Terproses,
25 Mar 2024,Dapur Asian Lokal,Hujan Lokal,Rp,"5,280,000.","580,800.","5,860,800.",Restaurant,Local,Terproses,
08 Aug 2024,Dapur Asian Lokal,Hujan Lokal,Rp,"11,310,000.","1,244,100.","12,554,100.",Restaurant,Local,Terproses,
13 Sep 2024,Dapur Asian Lokal,Hujan Lokal,Rp,"2,580,000.","283,800.","2,863,800.",Restaurant,Local,Terproses,
03 Dec 2024,Dapur Asian Lokal,Honey and Smoke Restaurant,Rp,"10,650,000.","1,171,500.","11,821,500.",Restaurant,Local,Terproses,
05 Feb 2024,Dapur Karya Enak,Woo Bo Restaurant,Rp,"11,700,000.","1,287,000.","12,987,000.",Restaurant,Local,Terproses,
28 Feb 2025,Dragon Tea Temple,Zest Ubud,Rp,"8,250,000.","907,500.","9,157,500.",Restaurant,Umum,Terproses,
17 Mar 2025,Dragon Tea Temple,Zest Ubud,Rp,"2,250,000.","247,500.","2,497,500.",Restaurant,Umum,Terproses,
16 Jan 2025,Dragonfly Villa,Dragonfly Villa,Rp,"40,236,000.","4,425,960.","44,661,960.",Hotel,Local,Terproses,
05 Mar 2024,Drifter,Drifter,Rp,"117,188,000.","12,890,680.","130,078,680.",Restaurant,Local,Terproses,
12 Sep 2024,Drifter,Drifter,Rp,"27,200,000.","2,992,000.","30,192,000.",Restaurant,Local,Terproses,
28 Jan 2025,Drifter,Drifter,Rp,"7,500,000.","492,888.","4,973,688.",Restaurant,Local,Terproses,
03 Jun 2024,Driss Tabbakalt,Driss Tabbakalt,Rp,"43,800,000.","4,818,000.","48,618,000.",Personal,Local,Terproses,
13 Nov 2024,"Dua Cahaya Anugrah, PT",W Hotel Bali Seminyak,Rp,"840,000.","92,400.","932,400.",Hotel,Local,Terproses,
03 May 2024,Duta Jaya Perkasa,Jumeirah Bali,Rp,"15,150,000.","1,666,500.","16,816,500.",Hotel,Local,Terproses,
23 May 2024,Duta Jaya Perkasa,Jumeirah Bali,Rp,"1,455,000.","160,050.","1,615,050.",Hotel,Local,Sebagian diproses,
04 Jun 2024,Duta Jaya Perkasa,Jumeirah Bali,Rp,"57,900,000.","6,369,000.","64,269,000.",Hotel,Local,Terproses,
19 Aug 2024,Duta Jaya Perkasa,Jumeirah Bali,Rp,"6,900,000.","759,000.","7,659,000.",Hotel,Local,Terproses,
18 Sep 2024,Duta Jaya Perkasa,Jumeirah Bali,Rp,"20,400,000.","2,244,000.","22,644,000.",Hotel,Local,Terproses,
30 Dec 2024,Duta Jaya Perkasa,Jumeirah Bali,Rp,"550,000.","60,500.","610,500.",Hotel,Local,Terproses,
18 Mar 2025,Duta Jaya Perkasa,Jumeirah Bali,Rp,"15,625,000.","1,718,750.","17,343,750.",Hotel,Local,Terproses,
18 Mar 2025,Duta Jaya Perkasa,Jumeirah Bali,Rp,"420,000.","46,200.","466,200.",Hotel,Local,Terproses,
