Company_Name,Brand_Name,PO Number,Date,Complete Date by Sales,Complete Date by Production,Trade_Type,Rate Last Sales Order,Total,Available Down Payment Last Sales Order,Down Payment Used/Returned Last Sales Order,Total Item Based on PO,Sales Origin,Cfm by WA,Customer_Category
Success Venture Hotel Investment,Pan Pacific Hotel,,21/03/2024,,,,1,913336277,0,456668000,0,,,Hotel
Success Venture Hotel Investment,Pan Pacific Hotel,,14/06/2024,,,,1,6915690,0,0,0,,,Hotel
"SSP Taurus Gemilang Indonesia, PT",Revolver Inter/Domestik,-,17/12/2024,13/01/2025,13/01/2025,Local,1,9990000,0,4995000,36,Bali,,Restaurant
"SSP Taurus Gemilang Indonesia, PT",Revolver Inter/Domestik,-,17/12/2024,13/01/2025,13/01/2025,Local,1,13320000,0,6660000,48,Bali,,Restaurant
Spirit Real-Estate Development Company,Grand Hyatt Kuwait,,08/02/2024,,,,,80,,,0,,,Hotel
Spirit Real-Estate Development Company,Grand Hyatt Kuwait,,23/05/2024,,,,15853,11400,0,5700,0,,,Hotel
Southern Dunes Operations & Maintenance Co.,Six Sense Dunes/The Parker Company,,27/03/2024,,,,15476.8,2355.6,0,1177.8,0,,,Hotel
Southern Dunes Operations & Maintenance Co.,Six Sense Dunes/The Parker Company,,25/06/2024,,,,16249,412.5,0,0,0,,,Hotel
Southern Dunes Operations & Maintenance Co.,Six Sense Dunes/The Parker Company,,06/09/2024,,,,,0,,,0,,,Hotel
Sonia,Sonia,,04/04/2024,,,,15500,3091.42,0,0,0,,,Personal
Solana Retreat Ubud,Bali Wellness Retreat,-,30/01/2025,25/04/2025,18/04/2025,Local,1,30747000,0,15373500,135,,,Hotel
Smeeta - Chef Jolly,Chef Jolly,-,27/02/2025,30/05/2025,30/05/2025,Export,16320,3257,0,1628.5,184,,,Restaurant
Six Senses Con Dao,Six Senses Con Dao,4187,15/01/2025,31/03/2025,30/04/2025,Export,16220,5611,0,2805.5,578,Vietnam,,Hotel
Simon Burgess,Simon Burgess,,06/12/2023,,,,15603,1840,0,0,0,,,Personal
Simon & Son's,Simon & Son's,,03/07/2024,,,,1,189238350,0,94619175,0,,,Restaurant
Silolona Pinisi Eksplorer,Silolona,-,19/09/2024,22/01/2025,21/01/2025,Local,1,111621600,0,55810800,480,Bali,,Hotel
Sheraton Melbourne Hotel,Sheraton,,31/01/2024,,,,15768,780,0,0,0,,,Hotel
Shelter Indonesia Group,Shelter Seminyak,,12/12/2023,,,,1,41391900,0,0,0,,,Restaurant
Shelter Indonesia Group,Shelter Seminyak,,03/01/2024,,,,1,16650000,0,0,0,,,Restaurant
Shelter Indonesia Group,Shelter Seminyak,,18/03/2024,,,,1,3663000,3663000,0,0,,,Restaurant
Shelter Indonesia Group,Shelter Seminyak,,12/08/2024,,,,1,3885000,0,1942500,0,,,Restaurant
Shelter Indonesia Group,Shelter Pererenan,,21/03/2024,,,,1,15706500,0,2781937,0,,,Restaurant
Shelter Indonesia Group,Shelter Canggu,,21/03/2024,,,,1,197644935,0,48323781,0,,,Restaurant
Shelter Indonesia Group,Shelter Pererenan,-,17/03/2025,31/05/2025,28/05/2025,Local,1,19758000,0,9879000,130,,,Restaurant
Shelter Indonesia Group,Shelter Pererenan,,12/08/2024,,,,1,23310000,0,11655000,0,,,Restaurant
Shelter Indonesia Group,Shelter Pererenan,,18/12/2024,,,,1,8325000,0,0,0,,,Restaurant
Sharon Frances,Sharon Frances,,16/01/2024,,,,1,17138400,0,0,0,,,Personal
Sequitur Resorts Pty Limited (Six Senses Fiji),Six Senses Fiji,,24/05/2024,,,,15853,1467,0,0,0,,,Hotel
Seniman Industries,Seniman Caffe,,03/01/2024,,,,1,3552000,0,0,0,,,Hotel
Seniman Industries,Seniman Caffe,,06/05/2024,,,,1,4262400,0,2131200,0,,,Hotel
Seniman Industries,Seniman Caffe,-,25/10/2024,09/01/2025,08/01/2025,Local,1,16872000,0,8436000,190,Bali,,Hotel
Selera Dapur Sedap,Jin Joo,PO202411270001,09/12/2024,31/01/2025,29/01/2025,Local,1,18514800,0,9257400,72,Bali,,Restaurant
Selera Dapur Sedap,Jin Joo,,11/12/2023,,,,1,78854400,0,0,0,,,Restaurant
Sejahtera Indoco,Nusa Dua Beach,,25/03/2024,,,,1,5594400,0,2797200,0,,,Hotel
Sejahtera Indoco,Nusa Dua Beach,,03/01/2024,,,,,41494575,,,0,,,Hotel
Sejahtera Indoco,Nusa Dua Beach,,03/11/2023,,,,1,258299775,0,0,0,,,Hotel
Sejahtera Indoco,Nusa Dua Beach,,21/08/2024,,,,1,48118500,0,24059250,0,,,Hotel
Sejahtera Indoco,Nusa Dua Beach,,19/09/2024,,,,1,17982000,0,8991000,0,,,Hotel
Sardine,Kclub Sardine Bali,,10/09/2024,,,,1,17615700,0,8807850,0,,,Restaurant
Santanera,Santanera,,30/05/2024,,,,1,24508800,0,12254400,0,,,Restaurant
Samanvaya,Zen Happy,,26/01/2024,,,,,11738250,,,0,,,Hotel
Samanvaya,Zen Happy,,15/05/2024,,,,1,54778500,0,27389250,0,,,Hotel
Samanvaya,Zen Happy,,08/07/2024,,,,1,3579750,0,3579750,0,,,Hotel
Samanvaya,Zen Happy,,27/08/2024,,,,1,4262400,0,2131200,0,,,Hotel
Samanvaya,Zen Happy,-,07/02/2025,31/03/2025,27/03/2025,Local,1,24647550,0,12323775,178,Bali,,Hotel
Samabe Luxury Resort,Samabe Luxury Resort,-,11/12/2024,28/02/2025,28/02/2025,Local,1,17582400,0,8791200,45,Bali,,Hotel
"RPB Investment Co., Ltd.",Six Sense Krabey Island Cambodia,-,18/02/2025,30/04/2025,08/05/2025,Export,16162,4417,0,2280.5,461,,,Export
Rosewood Hotel Doha,Royal Hospitality Co W.L.L,,08/08/2024,,,,16421,9425,0,4712.5,0,,,Hotel
Rosewood Hotel Doha,Royal Hospitality Co W.L.L,P12000111,05/03/2025,30/04/2025,08/04/2025,Export,16365,187.15,0,0,13,,,Hotel
Riviera Bistro,Riviera Pererenan / CLANDESTINO FOOD GROUP,,14/11/2024,,,,1,1864800,0,1864800,0,,,Restaurant
Riviera Bistro,Riviera Pererenan / CLANDESTINO FOOD GROUP,,22/05/2024,,,,1,128944260,0,64472130,0,,,Restaurant
Riviera Bistro,Riviera Pererenan / CLANDESTINO FOOD GROUP,-,23/01/2025,21/04/2025,26/03/2025,Local,1,6726600,0,3363300,60,Bali,,Restaurant
Riviera Bistro,Riviera Pererenan / CLANDESTINO FOOD GROUP,,23/07/2024,,,,1,1332000,0,666000,0,,,Restaurant
Riviera Bistro,Riviera Pererenan / CLANDESTINO FOOD GROUP,,25/07/2024,,,,1,6293700,0,6293700,0,,,Restaurant
Riviera Bistro,Riviera Pererenan / CLANDESTINO FOOD GROUP,,21/08/2024,,,,1,20535000,0,20535000,0,,,Restaurant
Riviera Bistro,Riviera Pererenan / CLANDESTINO FOOD GROUP,-,21/01/2025,20/03/2025,19/03/2025,Local,1,13997100,0,6998550,74,,,Restaurant
Rishab Hotel & Restaurant,Rishab Hotel & Restaurant,,12/06/2024,,,,,55645,,,0,,,Hotel
Revolver Cinta kopi,Revolver,,22/12/2023,,,,1,32495250,0,0,0,,,Restaurant
Revolver Cinta kopi,Revolver,-,11/12/2024,31/01/2025,31/01/2025,Local,1,22444200,0,11222100,87,Bali,,Restaurant
Renarte General Trading LLC,Renarte,,11/01/2024,,,,15480,1872,0,0,0,,,Agent
Renarte General Trading LLC,Renarte,,18/01/2024,,,,15629.3,508.8,0,0,0,,,Agent
Renarte General Trading LLC,Renarte,2024-2279,16/12/2024,01/02/2025,01/02/2025,Export,16320,984,0,984,48,Uni Emirat Arab,Done,Agent
Reef Hospitality Solutions and Trading Company,Sindalah,-,04/06/2024,14/03/2025,07/02/2025,Export,16000,41723.9,0,0,2560,,,Hotel
Reef Hospitality Solutions and Trading Company,Sindalah,-,03/06/2024,14/03/2025,07/02/2025,Export,16000,4100.8,0,0,160,,,Hotel
Reef Hospitality Solutions and Trading Company,Sindalah,-,04/06/2024,14/03/2025,07/02/2025,Export,16000,34661,0,0,2470,,,Hotel
Reef Hospitality Solutions and Trading Company,Sindalah,-,03/06/2024,14/03/2025,07/02/2025,Export,16000,29770.9,0,0,1960,,,Hotel
Reef Hospitality Solutions and Trading Company,Sindalah,-,04/06/2024,14/03/2025,07/02/2025,Export,16000,45109.8,0,0,2960,,,Hotel
Reef Hospitality Solutions and Trading Company,Sindalah,-,04/06/2024,14/03/2025,07/02/2025,Export,16000,31468.94,0,0,1990,Saudi Arabia,Done,Hotel
Reef Hospitality Solutions and Trading Company,Sindalah,-,03/06/2024,14/03/2025,07/02/2025,Export,16000,11078.2,0,0,560,,,Hotel
Reef Hospitality Solutions and Trading Company,Sindalah,-,03/06/2024,14/03/2025,07/02/2025,Export,16000,77544.8,0,0,4240,,,Hotel
Reef Hospitality Solutions and Trading Company,Sindalah,-,03/06/2024,14/03/2025,07/02/2025,Export,16000,75466.82,0,0,4708,,,Hotel
Reef Hospitality Solutions and Trading Company,Sindalah,-,04/06/2024,14/03/2025,07/02/2025,Export,16000,4104,0,0,160,,,Hotel
Rayjin Ubud,Rayjin Ubud,,19/08/2024,,,,1,20823600,0,10411800,0,,,Restaurant
Range Developments MSD Limited (Six Sense Grenada),Six Sense Grenada,,09/12/2023,,,,,450,,,0,,,Hotel
RADHAT AL JABAL LLC (Hotel Indigo Jabal Akhdar Resort & Spa),Indigo Oman,,01/03/2024,,,,15635,43392.5,0,21679.25,0,,,Hotel
PT Vatos Tamora Indonesia,Agave & Azul,-,11/03/2025,31/05/2025,23/05/2025,Local,1,70795800,0,35397900,336,,,Restaurant
PT MDA ABS TAMORA,Age Butcher Bali,,09/08/2024,,,,1,153080100,0,153080100,0,,,Restaurant
PT Caterison Sukses,Hilton Bali,,31/05/2024,,,,1,555000000,0,555000000,0,,,Hotel
PT Caterison Sukses,Hilton Bali,CS/0056/III/25,18/03/2025,15/05/2025,30/05/2025,Local,1,13320000,0,6660000,72,,,Hotel
PT Caterison Sukses,Hilton Bali,CS/0068/III/25,25/03/2025,30/05/2025,30/05/2025,Local,1,176417850,0,88208925,1220,,,Hotel
PT Autogrill Services Indonesia,Wolf Gang Puck,,29/11/2023,,,,1,53621325,0,26810662,0,,,Restaurant
PT Autogrill Services Indonesia,Wolf Gang Puck,,24/05/2024,,,,1,136035772,0,68017886,0,,,Restaurant
PT Autogrill Services Indonesia,Wolf Gang Puck,,04/06/2024,,,,1,704850,704850,0,0,,,Restaurant
PT Autogrill Services Indonesia,Wolf Gang Puck,PO-BMker/6948/12/WGP-ASI/2024,05/12/2024,14/03/2025,17/04/2025,Local,1,155011500,0,77505750,830,Bali,,Restaurant
Prima Ismaya Sejahtera,Ismaya,,28/05/2024,,,,,4218000,,,0,,,Restaurant
Prima Ismaya Sejahtera,Ismaya,,21/05/2024,,,,1,6793200,0,0,0,,,Restaurant
Prima Ismaya Sejahtera,Ismaya,,31/07/2024,,,,1,19846800,0,9923400,0,,,Restaurant
Prima Fenomena Jaya,Prima Fenomena Jaya,,12/12/2023,,,,1,72333150,0,36166575,0,,,Restaurant
Prima Fenomena Jaya,Prima Fenomena Jaya,,26/06/2024,,,,1,29481600,0,14740800,0,,,Restaurant
Prima Fenomena Jaya,Prima Fenomena Jaya,,28/05/2024,,,,1,4218000,0,2109000,0,,,Restaurant
"Prima Adhitama International Development, PT",Ayana Midplaza Jakarta,2024167089,13/01/2025,03/03/2025,27/02/2025,Local,1,7770000,0,3954456,50,,,Hotel
Pribadi Boga Utama,Buzo Restaurant/Salazon,,15/11/2024,,,,1,6926400,0,0,0,,,Restaurant
Pribadi Boga Utama,Buzo Restaurant/Salazon,,13/03/2024,,,,1,48551400,0,24275700,0,,,Restaurant
Pribadi Boga Utama,Buzo Restaurant/Salazon,,06/06/2024,,,,1,6327000,0,0,0,,,Restaurant
Pribadi Boga Utama,Buzo Restaurant/Salazon,,09/09/2024,,,,1,16516800,0,0,0,,,Restaurant
Prapat Agung Permai,Menjangan Dynasty Resort,,12/09/2024,,,,1,96736500,0,48368250,0,,,Hotel
Prapat Agung Permai,Menjangan Dynasty Resort,,22/05/2024,,,,1,6393600,0,3196800,0,,,Hotel
"PNB Merdeka Tower Hotel Sdn Bhd d/b/a Park Hyatt, Kuala Lumpur",Park Hyatt Kuala Lumpur,-,26/03/2025,30/06/2025,30/06/2025,Export,16162,29717.5,14858.75,0,950,Kuala Lumpur,,Hotel
PMJ Sakti Gamat,Maua Penida,,12/12/2023,,,,,9324000,,,0,,,Hotel
Permadani Khatulistiwa Nusantara,St Regis Hotel Jakarta,,19/11/2024,,,,,1492950,,,0,,,Hotel
Permadani Khatulistiwa Nusantara,St Regis Hotel Jakarta,,02/08/2024,,,,1,383891060,0,191945530,0,,,Hotel
Paul McAllister,Paul McAllister,,03/12/2024,,,,16249,228,0,0,0,,,Personal
Patina Maldives Fari Islands,Patina Maldives,,01/01/2024,,,,15500,3672,0,0,0,,,Hotel
Patina Maldives Fari Islands,Patina Maldives,,01/01/2024,,,,15500,5514,0,0,0,,,Hotel
Patina Maldives Fari Islands,Patina Maldives,,01/01/2024,,,,15500,4314,0,0,0,,,Hotel
Patina Maldives Fari Islands,Patina Maldives,,20/12/2023,,,,15500,25176,0,0,0,,,Hotel
Patina Maldives Fari Islands,Patina Maldives,,01/01/2024,,,,15500,3792,0,0,0,,,Hotel
Patina Maldives Fari Islands,Patina Maldives,,01/01/2024,,,,,6030,,,0,,,Hotel
Patina Maldives Fari Islands,Patina Maldives,,01/01/2024,,,,15500,7686,0,0,0,,,Hotel
Patina Maldives Fari Islands,Patina Maldives,,15/04/2024,,,,15476.8,900,0,900,0,,,Hotel
Patina Maldives Fari Islands,Patina Maldives,,29/03/2024,,,,15603,3000,0,0,0,,,Hotel
"Pasar Tani Indoguna, CV",Pasar Tani Indoguna,21724,30/01/2025,30/04/2025,16/05/2025,Local,1,14685300,0,7342650,60,,,Umum
