Total_USD,Total_Quantity,Cluster,Avg_Price_Per_Item,Quantity_to_Value_Ratio,Company_Name,Order_Density
223.6232794733323,3.0,3,74.54109315777744,0.01341541903448276,shed shop,0.9587912087912088
257.5523287727345,3.0,3,85.85077625757816,0.011648118323353293,shed shop,0.9587912087912088
226.3992925978289,3.0,3,75.46643086594297,0.013250924795640325,shed shop,0.9587912087912088
131.70640046222468,2.0,3,65.85320023111234,0.015185290866510541,shed shop,0.9587912087912088
24.05878041230334,1.0,3,24.05878041230334,0.041564866666666665,shed shop,0.9587912087912088
157.9243021935809,1.0,2,157.9243021935809,0.006332147656249999,sanur shop,0.8681318681318682
474.328109205642,1.0,2,474.328109205642,0.002108245285472753,sanur shop,0.8681318681318682
27.76013124496539,2.0,3,13.880065622482695,0.07204576888888889,sanur shop,0.8681318681318682
300.11786334834807,1.0,2,300.11786334834807,0.003332024254881809,sanur shop,0.8681318681318682
233.4935483604311,2.0,3,116.74677418021555,0.00856554715984148,sanur shop,0.8681318681318682
460.2012868609818,3.0,2,153.4004289536606,0.006518886595174264,sanur shop,0.8681318681318682
42.25708867289176,2.0,3,21.12854433644588,0.04732933722627737,sanur shop,0.8681318681318682
237.7346795228564,1.0,2,237.7346795228564,0.004206369899448589,sanur shop,0.8681318681318682
304.7445518891756,2.0,2,152.3722759445878,0.006562873684210526,ubud shop,0.9835164835164835
419.23967097952175,2.0,2,209.61983548976087,0.004770540906415539,ubud shop,0.9835164835164835
225.45853259452724,1.0,2,225.45853259452724,0.00443540543128805,ubud shop,0.9835164835164835
260.0715298386248,2.0,3,130.0357649193124,0.0076901920069490344,ubud shop,0.9835164835164835
440.090614003518,1.0,2,440.090614003518,0.0022722593215587328,ubud shop,0.9835164835164835
106.10539053631216,1.0,3,106.10539053631216,0.009424591860465117,ubud shop,0.9835164835164835
271.4323943952172,3.0,3,90.47746479840573,0.011052475909090908,ubud shop,0.9835164835164835
355.329679935557,2.0,2,177.6648399677785,0.005628575694444445,ubud shop,0.9835164835164835
54.90337068448711,2.0,3,27.451685342243554,0.03642763595505618,ubud shop,0.9835164835164835
105.18005282814664,1.0,3,105.18005282814664,0.009507506158357772,ubud shop,0.9835164835164835
43.79931818650095,2.0,3,21.899659093250474,0.04566281126760564,uluwatu shop,0.9260869565217391
33.929049299402145,2.0,3,16.964524649701072,0.058946538181818185,uluwatu shop,0.9260869565217391
264.95503043805854,1.0,2,264.95503043805854,0.0037742253783469154,uluwatu shop,0.9260869565217391
222.26611750135623,2.0,3,111.13305875067812,0.008998222592284208,uluwatu shop,0.9260869565217391
135.50028506570328,1.0,3,135.50028506570328,0.0073800582745276585,uluwatu shop,0.9260869565217391
276.2441504776778,2.0,3,138.1220752388389,0.007239972309066548,uluwatu shop,0.9260869565217391
138.4922103221051,1.0,3,138.4922103221051,0.007220622717149221,uluwatu shop,0.9260869565217391
102.09559380092828,1.0,3,102.09559380092828,0.009794741993957704,uluwatu shop,0.9260869565217391
166.36029763302315,1.0,2,166.36029763302315,0.006011049596736813,uluwatu shop,0.9260869565217391
77.72836748590309,1.0,1,77.72836748590309,0.012865315873015874,lobby shop,0.36134453781512604
215.9121319052864,1.0,2,215.9121319052864,0.004631513714285714,lobby shop,0.36134453781512604
31.461482077627444,1.0,1,31.461482077627444,0.031784898039215685,lobby shop,0.36134453781512604
126.46282011595343,1.0,1,126.46282011595343,0.007907462439024392,lobby shop,0.36134453781512604
131.70640046222468,2.0,1,65.85320023111234,0.015185290866510541,lobby shop,0.36134453781512604
288.7053649476401,2.0,1,144.35268247382004,0.0069274777777777775,bazzar labrisa,0.14613180515759314
497.2147951876023,3.0,1,165.7382650625341,0.0060336096774193555,bazzar labrisa,0.14613180515759314
393.2068367897987,2.0,1,196.60341839489934,0.005086381550047066,sales kevala home,0.06818181818181818
65.6964480233491,2.0,1,32.84822401167455,0.03044304616421853,fairmont jakarta - pt senayan trikarya sempana,0.015544041450777202
191.5449055902612,2.0,3,95.7724527951306,0.01044141578099839,shed shop,0.9587912087912088
123.37836108873508,1.0,3,123.37836108873508,0.008105149,shed shop,0.9587912087912088
254.0668900719777,2.0,3,127.03344503598885,0.007871942697584072,shed shop,0.9587912087912088
474.0813524834645,3.0,2,158.02711749448818,0.006328027846454132,shed shop,0.9587912087912088
1161.3913575185354,4.0,2,290.34783937963385,0.0034441447958993973,shed shop,0.9587912087912088
178.31257636349437,2.0,3,89.15628818174719,0.011216258778758,sanur shop,0.8681318681318682
156.99896448541537,2.0,3,78.49948224270769,0.012738937524557958,sanur shop,0.8681318681318682
49.35134443549403,2.0,3,24.675672217747014,0.040525745,sanur shop,0.8681318681318682
38.55573784022971,1.0,3,38.55573784022971,0.0259364768,sanur shop,0.8681318681318682
372.60265048797993,2.0,2,186.30132524398996,0.005367648344370861,sanur shop,0.8681318681318682
120.91079386696036,2.0,3,60.45539693348018,0.016541120408163267,ubud shop,0.9835164835164835
402.83034895472,2.0,2,201.41517447736,0.00496486921898928,ubud shop,0.9835164835164835
55.52026248993078,1.0,3,55.52026248993078,0.018011442222222222,ubud shop,0.9835164835164835
816.0244802408937,2.0,2,408.01224012044685,0.0024509068642273968,ubud shop,0.9835164835164835
594.9921463504248,3.0,2,198.3307154501416,0.0050420833592534995,ubud shop,0.9835164835164835
55.82870839265262,1.0,3,55.82870839265262,0.017911931491712708,uluwatu shop,0.9260869565217391
638.7297753563814,2.0,2,319.3648876781907,0.003131214603051961,uluwatu shop,0.9260869565217391
136.3330890030523,1.0,3,136.3330890030523,0.007334976470588233,uluwatu shop,0.9260869565217391
8.636485276211454,1.0,3,8.636485276211454,0.11578784285714287,uluwatu shop,0.9260869565217391
61.68918054436754,2.0,0,30.84459027218377,0.032420596,revenue studio,1.9806629834254144
30.84459027218377,1.0,0,30.84459027218377,0.032420596,revenue studio,1.9806629834254144
70.94255762602266,2.0,0,35.47127881301133,0.028191822608695655,revenue studio,1.9806629834254144
203.57429579641283,11.0,0,18.50675416331026,0.05403432666666668,revenue studio,1.9806629834254144
74.02701665324105,2.0,0,37.013508326620524,0.027017163333333333,revenue studio,1.9806629834254144
37.01350832662053,1.0,0,37.01350832662053,0.027017163333333327,revenue studio,1.9806629834254144
933.9988691139422,88.0,1,10.613623512658434,0.09421852949723918,griya pancaloka,0.030120481927710843
136.94998080849592,20.0,1,6.847499040424796,0.14603872072072074,griya pancaloka,0.030120481927710843
447.1416873397392,33.0,1,13.549748101204218,0.07380211001200282,bali giri kencana,0.0841799709724238
1484.537791964096,229.0,1,6.482697781502602,0.1542567668129384,bali giri kencana,0.0841799709724238
1481.798792347926,135.0,1,10.976287350725379,0.09110548658640155,bali giri kencana,0.0841799709724238
395.1451725316832,73.0,1,5.4129475689271676,0.18474222912123967,ungasan semesta resort,0.11075949367088607
1498.7497453779072,231.0,1,6.488094135835096,0.15412846655180165,ungasan semesta resort,0.11075949367088607
142.502007057489,3.0,3,47.500669019163006,0.021052335064935066,shed shop,0.9587912087912088
398.2036604138924,3.0,3,132.73455347129746,0.0075338333075135565,shed shop,0.9587912087912088
831.6935320991631,56.0,3,14.851670216056485,0.06733249428868121,reem kuwatly,1.0
9.561822984376969,1.0,3,9.561822984376969,0.10458256774193549,shed shop,0.9587912087912088
52.12735755999056,2.0,3,26.06367877999528,0.03836756923076924,ubud shop,0.9835164835164835
222.38949586244496,1.0,2,222.38949586244496,0.004496615256588073,ubud shop,0.9835164835164835
285.3587269031081,3.0,3,95.11957563436937,0.01051308306761066,ubud shop,0.9835164835164835
491.6627689386093,3.0,2,163.8875896462031,0.0061017432873274775,ubud shop,0.9835164835164835
148.67092511192575,3.0,3,49.55697503730858,0.02017879419087137,sanur shop,0.8681318681318682
