invoice_number,Date,Company_Name,Brand_Name,Total,Customer_Category,Trade_Type,Total_Quantity,Country,Total_USD
HOME-00001/KEVALA/OUT/03/2025,2025-02-28,kevala keramik bali,KKB,74512242.0,Umum,Local,437.0,Indonesia,4596.599149503605
HOME-00001/KEVALA/OUT/04/2025,2025-03-31,kevala keramik bali,KKB,66300237.0,Umum,Local,1543.0,Indonesia,4090.0072904273566
HOME-00001/KEVALA/OUT/05/2025,2025-04-30,kevala keramik bali,KKB,80316890.0,Umum,Local,1943.0,Indonesia,4954.683127972107
HOME-00001/KEVALA/OUT/06/2025,2025-05-31,kevala keramik bali,KKB,57368935.0,Umum,Local,1284.0,Indonesia,3539.042588853086
HOME-00002/KEVALA/OUT/01/2025,2025-01-31,kevala keramik bali,KKB,37185800.0,Umum,Local,263.0,Indonesia,2293.9615298867425
HOME-00002/KEVALA/OUT/02/2025,2025-02-28,kevala keramik bali,KKB,49952294.0,Umum,Local,334.0,Indonesia,3081.516083171327
HOME-00002/KEVALA/OUT/04/2025,2025-03-31,kevala keramik bali,KKB,53941369.0,Umum,Local,284.0,Indonesia,3327.5988510513503
HOME-00002/KEVALA/OUT/05/2025,2025-04-30,kevala keramik bali,KKB,33072806.0,Umum,Local,201.0,Indonesia,2040.234300442842
HOME-00002/KEVALA/OUT/06/2025,2025-05-31,kevala keramik bali,KKB,46051293.0,Umum,Local,257.0,Indonesia,2840.866528178569
HOME-00003/KEVALA/OUT/01/2025,2025-01-31,kevala keramik bali,KKB,66618933.0,Umum,Local,1769.0,Indonesia,4109.667385510124
HOME-00003/KEVALA/OUT/02/2025,2025-02-28,kevala keramik bali,KKB,22181998.0,Umum,Local,167.0,Indonesia,1368.3892794567996
HOME-00003/KEVALA/OUT/04/2025,2025-03-31,kevala keramik bali,KKB,33820832.0,Umum,Local,259.0,Indonesia,2086.3794114087227
HOME-00003/KEVALA/OUT/05/2025,2025-04-30,kevala keramik bali,KKB,37220669.0,Umum,Local,217.0,Indonesia,2296.112569923144
HOME-00003/KEVALA/OUT/06/2025,2025-05-31,kevala keramik bali,KKB,46435031.0,Umum,Local,270.0,Indonesia,2864.5390109423033
HOME-00004/KEVALA/OUT/01/2025,2025-01-31,kevala keramik bali,KKB,75967501.0,Umum,Local,453.0,Indonesia,4686.372884693421
HOME-00004/KEVALA/OUT/02/2025,2025-02-28,kevala keramik bali,KKB,30245899.0,Umum,Local,210.0,Indonesia,1865.8447241377055
HOME-00004/KEVALA/OUT/04/2025,2025-03-31,kevala keramik bali,KKB,87523973.0,Umum,Local,579.0,Indonesia,5399.28217235735
HOME-00004/KEVALA/OUT/05/2025,2025-04-30,kevala keramik bali,KKB,88894059.0,Umum,Local,465.0,Indonesia,5483.80165497266
HOME-00004/KEVALA/OUT/06/2025,2025-05-31,kevala keramik bali,KKB,12401201.0,Umum,Local,63.0,Indonesia,765.0199274559913
HOME-00005/KEVALA/OUT/01/2025,2025-01-31,kevala keramik bali,KKB,31796949.0,Umum,Local,200.0,Indonesia,1961.5277276210468
HOME-00005/KEVALA/OUT/04/2025,2025-03-31,kevala keramik bali,KKB,15127988.0,Umum,Local,128.0,Indonesia,933.2331830050256
HOME-00005/KEVALA/OUT/05/2025,2025-04-30,kevala keramik bali,KKB,37744984.0,Umum,Local,276.0,Indonesia,2328.457132620264
HOME-00005/KEVALA/OUT/06/2025,2025-05-31,kevala keramik bali,KKB,91110000.0,Umum,Local,542.0,Indonesia,5620.501239397326
HOME/CONS/001/01/2023,2023-02-20,bali giri kencana,Four Season Resort Jimbaran Bay,768398.0,Hotel,Local,4.0,Indonesia,47.401842951930924
HOME/CONS/002/02/2023,2023-01-06,omah budoyo,Omah Budoyo,5168160.0,Agent,Local,20.0,Indonesia,318.81955532217853
HOME/CONS/003/02/2023,2023-01-07,nusadua graha international,The Westin Resort Nusa Dua,2419800.0,Hotel,Local,9.0,Indonesia,149.27547908126056
HOME/CONS/004/02/2023,2023-02-28,pesamuan keramik seni,Pesamuan,1669369.0,Agent,Local,2.0,Indonesia,102.98200563617029
HOME/CONS/005/02/2023,2023-02-28,nusadua graha international,The Westin Resort Nusa Dua,780000.0,Hotel,Local,2.0,Indonesia,48.11756082460668
HOME/CONS/006/02/2023,2023-02-28,bali giri kencana,Four Season Resort Jimbaran Bay,386002.0,Hotel,Local,2.0,Indonesia,23.812147068486958
HOME/CONS/007/02/2023,2023-02-28,omah budoyo,Omah Budoyo,426240.0,Agent,Local,3.0,Indonesia,26.294396315231218
HOME/CONS/008/02/2023,2023-01-09,jia,Jia,12075000.02,Artist Collaboration,Local,50.0,Indonesia,744.8968563070216
INV-00002/KEVALA/OUT/04/2025,2025-04-03,hotel pandan arum,Maya Ubud,488400.0,Hotel,Local,2.0,Indonesia,30.128995777869104
INV-00002/KEVALA/OUT/05/2025,2025-05-05,indonesia adventure sport,Nihi Sumba,4956150.0,Hotel,Local,19.0,Indonesia,305.74083215496717
INV-00002/KEVALA/OUT/06/2025,2025-06-04,heritage resorts and spas,Buahan a Banyan Tree Escape,10866900.0,Hotel,Local,51.0,Indonesia,670.3701560575876
INV-00003/KEVALA/OUT/02/2025,2025-02-04,"loka neka jaya, pt",Locavore NXT,10545000.0,Restaurant,Local,50.0,Indonesia,650.5124088403556
INV-00003/KEVALA/OUT/03/2025,2025-03-05,ginger moon,Ginger Moon,4928400.0,Restaurant,Local,24.0,Indonesia,304.028957394861
INV-00003/KEVALA/OUT/04/2025,2025-04-08,rosewood hotel doha,Royal Hospitality Co W.L.L,187.15,Hotel,Export,13.0,Qatar,187.15
INV-00003/KEVALA/OUT/05/2025,2025-05-05,sutera bali,Mamasan,61125000.0,Restaurant,Local,325.0,Indonesia,3770.7511607744655
INV-00003/KEVALA/OUT/06/2025,2025-06-04,kafe ubud,Hanoman Kafe,18315000.0,Restaurant,Local,60.0,Indonesia,1129.8373416700913
INV-00004/KEVALA/OUT/02/2025,2025-02-05,bali bounty,Kudeta,6993000.0,Restaurant,Local,30.0,Indonesia,431.39243954676215
INV-00004/KEVALA/OUT/03/2025,2025-03-06,"pasar tani indoguna, cv",Pasar Tani Indoguna,11177700.0,Umum,Umum,20.0,Indonesia,689.543153370777
INV-00004/KEVALA/OUT/05/2025,2025-05-05,alterize,Alterize,2800000.0,Umum,Umum,700.0,Indonesia,172.7297055242291
INV-00005/KEVALA/OUT/03/2025,2025-03-06,"pasar tani indoguna, cv",Pasar Tani Indoguna,11177700.0,Umum,Umum,20.0,Indonesia,689.543153370777
INV-00005/KEVALA/OUT/05/2025,2025-05-06,anaamaya resort seminyak,Alila Seminyak,35991750.0,Hotel,Local,263.0,Indonesia,2220.3015638577403
INV-00006/KEVALA/OUT/03/2025,2025-03-06,"bali boga utama, cv",Bali Boga Utama,11177700.0,Restaurant,Umum,20.0,Indonesia,689.543153370777
INV-00006/KEVALA/OUT/05/2025,2025-05-06,permadani khatulistiwa nusantara,St Regis Hotel Jakarta,4833441.0,Hotel,Local,1.0,Indonesia,298.17101449954833
INV-00007/KEVALA/OUT/03/2025,2025-03-06,"makasar boga utama, cv",Makasar Boga Utama,11177700.0,Restaurant,Umum,20.0,Indonesia,689.543153370777
INV-00008/KEVALA/OUT/03/2025,2025-03-06,"cipaku boga utama, cv",Cipaku Boga Utama,22355400.0,Restaurant,Umum,40.0,Indonesia,1379.086306741554
INV-00008/KEVALA/OUT/04/2025,2025-04-08,cakrawala bima pratiwi,Abisena,510600.0,Hotel,Local,4.0,Indonesia,31.498495585954064
INV-00008/KEVALA/OUT/05/2025,2025-05-07,duta jaya perkasa,Jumeirah Bali,22644000.0,Hotel,Local,60.0,Indonesia,1396.8898042466585
INV-00009/KEVALA/OUT/06/2025,2025-06-05,"hai ha handicraft co., ltd",Hai Ha,564.0,Hotel,Export,1.0,Vietnam,564.0
INV-00010/KEVALA/OUT/05/2025,2025-04-30,"balikpapan boga utama, cv",Balikpapan Boga Utama,29550420.0,Umum,Umum,108.0,Indonesia,1822.9411945418892
INV-00010/KEVALA/OUT/06/2025,2025-06-06,indonesia adventure sport,Nihi Sumba,8524800.0,Hotel,Local,24.0,Indonesia,525.8879263046243
INV-00012/KEVALA/OUT/03/2025,2025-03-07,jen,Jennifer,47397000.0,Personal,Local,254.0,Indonesia,2923.882090261388
INV-00012/KEVALA/OUT/06/2025,2025-06-09,nusadua graha international,The Westin Resort Nusa Dua,53957100.0,Hotel,Local,343.0,Indonesia,3328.5692835504933
INV-00013/KEVALA/OUT/03/2025,2025-03-07,hotel pandan arum,Maya Ubud,16924725.0,Hotel,Local,150.0,Indonesia,1044.0724161887708
INV-00013/KEVALA/OUT/04/2025,2025-04-10,kebun bistro ubud,Kebun Bistro,305250.0,Restaurant,Local,1.0,Indonesia,18.83062236116819
INV-00013/KEVALA/OUT/05/2025,2025-05-08,karya agung kisma lestari,Laguna Hotel Bali,7215000.0,Hotel,Local,130.0,Indonesia,445.08743762761173
INV-00014/KEVALA/OUT/02/2025,2025-02-10,harmoni cakrawala bali,Mandarin Oriental Bali,26356950.0,Hotel,Local,159.0,Indonesia,1625.9386471488679
INV-00014/KEVALA/OUT/05/2025,2025-05-09,amanda arumdhani,Four Season Sayan,29315100.0,Hotel,Local,175.0,Indonesia,1808.4244965761886
INV-00015/KEVALA/OUT/02/2025,2025-02-10,harmoni cakrawala bali,Mandarin Oriental Bali,1098900.0,Hotel,Local,6.0,Indonesia,67.79024050020548
INV-00015/KEVALA/OUT/03/2025,2025-03-10,paola buendia,Paola Buendia,4795200.0,Personal,Local,24.0,Indonesia,295.8119585463512
INV-00015/KEVALA/OUT/05/2025,2025-05-09,dragon tea temple,Zest Ubud,2497500.0,Restaurant,Umum,25.0,Indonesia,154.0687284095579
INV-00016/KEVALA/OUT/03/2025,2025-03-10,pacific resorts buana indonesia,St Regis Bali,77700000.0,Hotel,Local,480.0,Indonesia,4793.249328297357
INV-00016/KEVALA/OUT/05/2025,2025-05-09,bali boga anugrah,Peggy Brass,925450.0,Restaurant,Local,4.0,Indonesia,57.09025213478493
INV-00017/KEVALA/OUT/06/2025,2025-06-10,brett hospitality group,Mason Uluwatu,2197800.0,Restaurant,Local,24.0,Indonesia,135.58048100041097
INV-00018/KEVALA/OUT/02/2025,2025-02-13,awahita indonesia putra,Capella Ubud,33744000.0,Hotel,Local,260.0,Indonesia,2081.639708289138
INV-00018/KEVALA/OUT/03/2025,2025-03-10,awahita indonesia putra,Capella Ubud,7592400.0,Hotel,Local,24.0,Indonesia,468.3689343650561
INV-00018/KEVALA/OUT/06/2025,2025-06-10,smeeta - chef jolly,Chef Jolly,3257.0,Restaurant,Export,184.0,India,3257.0
INV-00019/KEVALA/OUT/02/2025,2025-02-11,jimbaran villas,Bvlgari,5594400.0,Hotel,Local,24.0,Indonesia,345.11395163740974
INV-00019/KEVALA/OUT/04/2025,2025-04-14,indonesia adventure sport,Nihi Sumba,10656000.0,Hotel,Local,48.0,Indonesia,657.3599078807805
INV-00020/KEVALA/OUT/02/2025,2025-02-13,hotel permata hijau,Hotel Permata Hijau,85914000.0,Hotel,Local,360.0,Indonesia,5299.964257288792
INV-00020/KEVALA/OUT/03/2025,2025-03-11,citra jimbaran indah hotel,Intercontinental Bali Resort,26640000.0,Hotel,Local,100.0,Indonesia,1643.399769701951
INV-00020/KEVALA/OUT/05/2025,2025-05-14,pt autogrill services indonesia,Wolf Gang Puck,2997000.0,Restaurant,Local,9.0,Indonesia,184.8824740914695
INV-00021/KEVALA/OUT/02/2025,2025-02-13,boma beach club,Boma Beach Club,670.0,Restaurant,Local,50.0,Indonesia,0.04133175096472625
INV-00021/KEVALA/OUT/03/2025,2025-03-11,hotel pandan arum,Maya Ubud,33966000.0,Hotel,Local,120.0,Indonesia,2095.3347063699875
INV-00022/KEVALA/OUT/04/2025,2025-04-15,sutera bali,Mamasan,3463200.0,Restaurant,Local,24.0,Indonesia,213.64197006125366
INV-00023/KEVALA/OUT/04/2025,2025-04-15,anaamaya resort seminyak,Alila Seminyak,13891650.0,Hotel,Local,71.0,Indonesia,856.9645049091632
INV-00023/KEVALA/OUT/05/2025,2025-05-15,anaamaya resort seminyak,Alila Seminyak,5550000.0,Hotel,Local,50.0,Indonesia,342.37495202123984
INV-00025/KEVALA/OUT/03/2025,2025-03-13,"palembang boga utama, cv",Palembang Boga Utama,11177700.0,Restaurant,Umum,20.0,Indonesia,689.543153370777
INV-00025/KEVALA/OUT/04/2025,2025-04-16,duta jaya perkasa,Jumeirah Bali,466200.0,Hotel,Local,2.0,Indonesia,28.759495969784144
INV-00026/KEVALA/OUT/03/2025,2025-03-13,"surabaya boga, cv",Surabaya Boga,11177700.0,Restaurant,Umum,20.0,Indonesia,689.543153370777
INV-00026/KEVALA/OUT/04/2025,2025-04-16,gio's private villa canggu,Gio's Private Villa Canggu,55144800.0,Hotel,Local,264.0,Indonesia,3401.837523283039
INV-00026/KEVALA/OUT/05/2025,2025-04-30,"palembang boga utama, cv",Palembang Boga Utama,29550420.0,Restaurant,Umum,108.0,Indonesia,1822.9411945418892
INV-00027/KEVALA/OUT/02/2025,2025-02-17,four season resort maldives,Four Season Maldives,1290.0,Hotel,Export,100.0,Maldives,1290.0
INV-00027/KEVALA/OUT/03/2025,2025-03-13,"bandung boga utama, cv",Bandung Boga Utama,11177700.0,Restaurant,Umum,20.0,Indonesia,689.543153370777
INV-00027/KEVALA/OUT/04/2025,2025-04-16,alterize,Alterize,700000.0,Umum,Umum,175.0,Indonesia,43.182426381057276
INV-00027/KEVALA/OUT/06/2025,2025-06-12,the sanubari hotel,MDA ABS Kuningan,122585625.0,Hotel,Local,850.0,Indonesia,7562.206752769134
