invoice_number,Date,Company_Name,Brand_Name,Total,Customer_Category,Trade_Type
INV-1921/KEVALA/OUT/VII/2024,10 Jul 2024,Nusadua Graha International,The Westin Resort Nusa Dua,"23,992,650.",Hotel,Local
INV-1922/KEVALA/OUT/VII/2024,10 Jul 2024,Prima Ismaya Sejahtera,Ismaya,"6,793,200.",Restaurant,Local
INV-1923/KEVALA/OUT/VII/2024,10 Jul 2024,Prima Ismaya Sejahtera,Ismaya,"185,986.",Restaurant,Local
INV-1924/KEVALA/OUT/VII/2024,11 Jul 2024,Bali Perkasa Sukses,Indigo Bali,"1,398,600.",Hotel,Local
INV-1925/KEVALA/OUT/VII/2024,11 Jul 2024,Sutera Bali,Mamasan,"8,591,400.",Restaurant,Local
INV-1927/KEVALA/OUT/VII/2024,18 Jul 2024,Telaga Cita Rasa,Nam Heong,"21,578,400.",Personal,Local
INV-1928/KEVALA/OUT/VII/2024,22 Jul 2024,Nusantara Island Resort,Amankila Hotel,"15,645,450.",Hotel,Local
INV-1929/KEVALA/OUT/VII/2024,24 Jul 2024,Karang Mas Sejahtera,Ayana Hospitality,"3,296,700.",Hotel,Local
INV-1930/KEVALA/OUT/VII/2024,26 Jul 2024,Graha Alam Lestari,The Apurva Kempinski Bali,"28,729,852.",Hotel,Local
INV-1931/KEVALA/OUT/VII/2024,26 Jul 2024,Budi Susanti,Budi Susanti,"7,714,500.",Personal,Local
INV-1932/KEVALA/OUT/VII/2024,29 Jul 2024,Maya Resort,Maya Sanur,"23,304,450.",Hotel,Local
INV-1933/KEVALA/OUT/VII/2024,30 Jul 2024,Maya Resort,Maya Sanur,"6,696,075.",Hotel,Local
INV-1934/KEVALA/OUT/VII/2024,31 Jul 2024,Wana Kamala Gemilang,Omma Bali,"57,417,525.",Restaurant,Local
INV-1935/KEVALA/OUT/VII/2024,30 Jul 2024,Nusadua Graha International,The Westin Resort Nusa Dua,"12,637,350.",Hotel,Local
INV-1936/KEVALA/OUT/VII/2024,31 Jul 2024,Karang Mas Sejahtera,Ayana Hospitality,"1,404,150.",Hotel,Local
INV-1937/KEVALA/OUT/VII/2024,30 Jul 2024,Kreasi Cipta Karsa,The Langham Jakarta,"41,070,000.",Hotel,Local
INV-1938/KEVALA/OUT/VIII/2024,02 Aug 2024,Hotel Pandan Arum,Maya Ubud,"8,325,000.",Hotel,Local
INV-1939/KEVALA/OUT/VIII/2024,02 Aug 2024,Cakrawala Bima Pratiwi,Abisena,"168,034,575.",Hotel,Local
INV-1940/KEVALA/OUT/VIII/2024,05 Aug 2024,Samanvaya,Zen Happy,"54,778,500.",Hotel,Local
INV-1941/KEVALA/OUT/VIII/2024,05 Aug 2024,Bokashi Berawa,Bokashi Berawa,"17,049,600.",Restaurant,Local
INV-1942/KEVALA/OUT/VIII/2024,05 Aug 2024,Driss Tabbakalt,Driss Tabbakalt,"48,618,000.",Personal,Local
INV-1943/KEVALA/OUT/VIII/2024,05 Aug 2024,Milk Bar,Milk Bar,"7,059,600.",Restaurant,Local
INV-1944/KEVALA/OUT/VIII/2024,06 Aug 2024,Prima Fenomena Jaya,Prima Fenomena Jaya,"4,403,986.",Restaurant,Local
INV-1945/KEVALA/OUT/VIII/2024,07 Aug 2024,Batu Mejan Sukses Bersama Bali,La Brisa,"45,732,000.",Restaurant,Local
INV-1946/KEVALA/OUT/VIII/2024,08 Aug 2024,Vista Padang Asri,Suarga Resort,"10,267,500.",Hotel,Local
INV-1947/KEVALA/OUT/VIII/2024,08 Aug 2024,Graha Alam Lestari,The Apurva Kempinski Bali,"76,704,330.",Hotel,Local
INV-1948/KEVALA/OUT/VIII/2024,12 Aug 2024,Santanera,Santanera,"24,508,800.",Restaurant,Local
INV-1949/KEVALA/OUT/VIII/2024,12 Aug 2024,Taurus Gemilang,Revolver Taurus,"52,292,100.",Restaurant,Local
INV-1951/KEVALA/OUT/VIII/2024,13 Aug 2024,Cahaya Warna Prima,Six Sense Uluwatu,"8,880,000.",Hotel,Local
INV-1952/KEVALA/OUT/VIII/2024,14 Aug 2024,Prapat Agung Permai,Menjangan Dynasty Resort,"6,393,600.",Hotel,Local
INV-1953/KEVALA/OUT/VIII/2024,14 Aug 2024,Expat Roasters Indonesia,Expat Roasters,"65,066,868.",Restaurant,Local
INV-1955/KEVALA/OUT/VIII/2024,19 Aug 2024,Bali General Supply,BGS,"3,996,000.",Restaurant,Local
INV-1956/KEVALA/OUT/VIII/2024,19 Aug 2024,Wynncor Bali,Andaz Bali,"11,100,000.",Hotel,Local
INV-1957/KEVALA/OUT/VIII/2024,20 Aug 2024,GAB's Gastro Bar,GAB's Gastro Bar,"222,570,450.",Restaurant,Local
INV-1962/KEVALA/OUT/VII/2024,25 Jul 2024,Anaamaya Resort Seminyak,Alila Seminyak,"132,744,900.",Hotel,Local
INV-1963/KEVALA/OUT/VII/2024,25 Jul 2024,Anaamaya Resort Seminyak,Alila Seminyak,"28,438,200.",Hotel,Local
INV-1964/KEVALA/OUT/VII/2024,25 Jul 2024,Anaamaya Resort Seminyak,Alila Seminyak,"75,846,300.",Hotel,Local
