invoice_number,Date,Company_Name,Brand_Name,Total,Customer_Category,Trade_Type
INV-00025/KEVALA/OUT/03/2025,13/Mar/25,"Palembang Boga Utama, CV",Palembang Boga Utama,"11,177,700.00",Restaurant,Umum
INV-00026/KEVALA/OUT/03/2025,13/Mar/25,"Surabaya Boga, CV",Surabaya Boga,"11,177,700.00",Restaurant,Umum
INV-00027/KEVALA/OUT/02/2025,17/Feb/25,Four Season Resort Maldives,Four Season Maldives,"1,290.00",Hotel,Export
INV-00027/KEVALA/OUT/03/2025,13/Mar/25,"Bandung Boga Utama, CV",Bandung Boga Utama,"11,177,700.00",Restaurant,Umum
INV-00028/KEVALA/OUT/02/2025,17/Feb/25,Four Season Resort Maldives,Four Season Maldives,"1,214,475.00",Hotel,Export
INV-00028/KEVALA/OUT/03/2025,14/Mar/25,Amanda Arumdhani,Four Season Sayan,"9,501,600.00",Hotel,Local
INV-00030/KEVALA/OUT/02/2025,17/Feb/25,Boa Development,Nihi Rote,"40,537,200.00",Hotel,Local
INV-00030/KEVALA/OUT/03/2025,17/Mar/25,Nusadua Graha International,The Westin Resort Nusa Dua,"12,565,200.00",Hotel,Local
INV-00031/KEVALA/OUT/02/2025,17/Feb/25,Boa Development,Nihi Rote,"10,656,000.00",Hotel,Local
INV-00031/KEVALA/OUT/03/2025,17/Mar/25,Bali Radiance,Bali Radiance,"51,948,000.00",Hotel,Local
INV-00032/KEVALA/OUT/02/2025,21/Feb/25,Boa Development,Nihi Rote,"35,898,100.00",Hotel,Local
INV-00032/KEVALA/OUT/03/2025,18/Mar/25,Hotel Pandan Arum,Maya Ubud,"10,489,500.00",Hotel,Local
INV-00033/KEVALA/OUT/02/2025,17/Feb/25,Boa Development,Nihi Rote,"5,328,000.00",Hotel,Local
INV-00033/KEVALA/OUT/03/2025,19/Mar/25,"Indoguna Utama, PT",Indoguna Utama,"27,944,250.00",Restaurant,Umum
INV-00034/KEVALA/OUT/02/2025,18/Feb/25,Harmoni Cakrawala Bali,Mandarin Oriental Bali,"1,154,400.00",Hotel,Local
INV-00034/KEVALA/OUT/03/2025,19/Mar/25,"Citra Kirana Pantai, PT",Swissotel Jakarta PIK Avenue,"15,107,100.00",Hotel,Umum
INV-00035/KEVALA/OUT/02/2025,18/Feb/25,Bali Bounty,Kudeta,"4,329,000.00",Restaurant,Local
INV-00035/KEVALA/OUT/03/2025,19/Mar/25,"Citra Kirana Pantai, PT",Swissotel Jakarta PIK Avenue,"24,997,200.00",Hotel,Umum
INV-00036/KEVALA/OUT/03/2025,19/Mar/25,Cempaka Interior,Cempaka Interior,"9,057,600.00",Agent,Local
INV-00039/KEVALA/OUT/03/2025,20/Mar/25,"Kopi Bar Sela, PT",Chella Uluwatu,"1,520,700.00",Restaurant,Local
INV-00040/KEVALA/OUT/03/2025,20/Mar/25,Badan Canggu International,Regent Canggu,"73,482,000.00",Hotel,Local
INV-00041/KEVALA/OUT/03/2025,20/Mar/25,Riviera Bistro,Riviera Pererenan / CLANDESTINO FOOD GROUP,"13,997,100.00",Restaurant,Local
INV-00042/KEVALA/OUT/03/2025,20/Mar/25,Alterize,Alterize,"200,000.00",Umum,Umum
INV-00044/KEVALA/OUT/02/2025,20/Feb/25,Beyond Bamboo (Six Senses London),Six Senses London,"4,958.00",Hotel,Export
INV-00049/KEVALA/OUT/02/2025,21/Feb/25,Intercontinental Bandung Dago,Hotel Dago Pakar,"6,449,100.00",Hotel,Local
INV-00051/KEVALA/OUT/01/2025,30/Jan/25,WPC Logistics - Bali Branch,WPC Logistics,954,Agent,Umum
INV-00051/KEVALA/OUT/03/2025,24/Mar/25,Samanvaya,Zen Happy,"24,647,550.00",Hotel,Local
INV-00052/KEVALA/OUT/03/2025,25/Mar/25,Bali Perkasa Sukses,Indigo Bali,"8,325,000.00",Hotel,Local
INV-00053/KEVALA/OUT/03/2025,25/Mar/25,Indonesia Adventure Sport,Nihi Sumba,"7,770,000.00",Hotel,Local
INV-00054/KEVALA/OUT/03/2025,25/Mar/25,Indonesia Adventure Sport,Nihi Sumba,"19,425,000.00",Hotel,Local
INV-00055/KEVALA/OUT/03/2025,25/Mar/25,Indonesia Adventure Sport,Nihi Sumba,"5,061,600.00",Hotel,Local
INV-00056/KEVALA/OUT/03/2025,26/Mar/25,Indonesia Adventure Sport,Nihi Sumba,"27,972,000.00",Hotel,Local
INV-00057/KEVALA/OUT/01/2025,01/Jan/25,Bukit Uluwatu Villa,Alila Uluwatu,"268,898.00",Hotel,Local
INV-00057/KEVALA/OUT/03/2025,26/Mar/25,Vista Padang Asri,Suarga Resort,"4,662,000.00",Hotel,Local
INV-00058/KEVALA/OUT/02/2025,25/Feb/25,Badan Canggu International,Regent Canggu,"132,328,650.00",Hotel,Local
INV-00058/KEVALA/OUT/03/2025,26/Mar/25,Ungasan Semesta Resort,QQ Siti Agung Makmur (LXR),"16,158,270.00",Hotel,Local
INV-00059/KEVALA/OUT/02/2025,25/Feb/25,Intercontinental Bandung Dago,Hotel Dago Pakar,"6,737,700.00",Hotel,Local
INV-00059/KEVALA/OUT/03/2025,27/Mar/25,Riviera Bistro,Riviera Pererenan / CLANDESTINO FOOD GROUP,"6,726,600.00",Restaurant,Local
INV-00060/KEVALA/OUT/03/2025,27/Mar/25,Amanda Arumdhani,Four Season Sayan,"17,970,900.00",Hotel,Local
