Company_Name,PO Number,Date,Trade_Type,Total,Total_Quantity,Location,Customer_Category,Country
prima fenomena jaya,,26/06/2024,,29481600.0,0,,Restaurant,Indonesia
prima fenomena jaya,,28/05/2024,,4218000.0,0,,Restaurant,Indonesia
"prima adhitama international development, pt",2024167089,13/01/2025,Local,7770000.0,50,,Hotel,Indonesia
pribadi boga utama,,15/11/2024,,6926400.0,0,,Restaurant,Indonesia
pribadi boga utama,,13/03/2024,,48551400.0,0,,Restaurant,Indonesia
pribadi boga utama,,06/06/2024,,6327000.0,0,,Restaurant,Indonesia
pribadi boga utama,,09/09/2024,,16516800.0,0,,Restaurant,Indonesia
prapat agung permai,,12/09/2024,,96736500.0,0,,Hotel,Indonesia
prapat agung permai,,22/05/2024,,6393600.0,0,,Hotel,Indonesia
"pnb merdeka tower hotel sdn bhd d/b/a park hyatt, kuala lumpur",-,26/03/2025,Export,29717.5,950,Kuala Lumpur,Hotel,Malaysia
pmj sakti gamat,,12/12/2023,,9324000.0,0,,Hotel,Indonesia
permadani khatulistiwa nusantara,,19/11/2024,,1492950.0,0,,Hotel,Indonesia
permadani khatulistiwa nusantara,,02/08/2024,,383891060.0,0,,Hotel,Indonesia
paul mcallister,,03/12/2024,,228.0,0,,Personal,Australia
patina maldives fari islands,,01/01/2024,,3672.0,0,,Hotel,Maldives
patina maldives fari islands,,01/01/2024,,5514.0,0,,Hotel,Maldives
patina maldives fari islands,,01/01/2024,,4314.0,0,,Hotel,Maldives
patina maldives fari islands,,20/12/2023,,25176.0,0,,Hotel,Maldives
patina maldives fari islands,,01/01/2024,,3792.0,0,,Hotel,Maldives
patina maldives fari islands,,01/01/2024,,6030.0,0,,Hotel,Maldives
patina maldives fari islands,,01/01/2024,,7686.0,0,,Hotel,Maldives
patina maldives fari islands,,15/04/2024,,900.0,0,,Hotel,Maldives
patina maldives fari islands,,29/03/2024,,3000.0,0,,Hotel,Maldives
"pasar tani indoguna, cv",21724,30/01/2025,Local,14685300.0,60,,Umum,Indonesia
"pasar tani indoguna, cv",21723,30/01/2025,Local,14685300.0,60,,Umum,Indonesia
"pasar tani indoguna, cv",PO21492,10/01/2025,Local,11177700.0,20,Jakarta,Umum,Indonesia
"pasar tani indoguna, cv",PO21493,10/01/2025,Local,11177700.0,20,Jakarta,Umum,Indonesia
paola buendia,-,28/02/2025,Local,4795200.0,24,,Personal,Indonesia
"palembang boga utama, cv",PO21494,10/01/2025,Local,11177700.0,20,Kalimantan Timur,Restaurant,Indonesia
"palembang boga utama, cv",PO21722,30/01/2025,Local,29550420.0,108,,Restaurant,Indonesia
pak dio,-,31/01/2025,Local,31348620.0,120,,Personal,Indonesia
pahdi alam sejahtera,,18/01/2024,Local,27195000.0,0,,Restaurant,Indonesia
pahdi alam sejahtera,-,15/11/2024,Local,255854722.0,882,Bali,Restaurant,Indonesia
pacific resorts buana indonesia,,29/08/2024,Local,1714950.0,0,,Hotel,Indonesia
pacific resorts buana indonesia,-,19/12/2024,Local,77700000.0,480,Bali,Hotel,Indonesia
pablo long time asian restaurant,,18/04/2024,,6216000.0,0,,Restaurant,Indonesia
pablo long time asian restaurant,,22/01/2024,,149239500.0,0,,Restaurant,Indonesia
pablo long time asian restaurant,,19/03/2024,,4662000.0,0,,Restaurant,Indonesia
pablo long time asian restaurant,,04/06/2024,,10822500.0,0,,Restaurant,Indonesia
pablo long time asian restaurant,,03/09/2024,,2797200.0,0,,Restaurant,Indonesia
original vision (antigua) ltd,,24/12/2024,Export,35123.4,0,,Umum,Antigua And Barbuda
original vision (antigua) ltd,-,10/01/2025,Export,1399.95,8,,Umum,Antigua And Barbuda
original vision (antigua) ltd,-,24/12/2024,Export,33399.99,2125,Antigua,Umum,Antigua And Barbuda
optimist pererenan,,19/01/2024,,179792250.0,0,,Restaurant,Indonesia
optimist pererenan,,04/06/2024,,42918150.0,0,,Restaurant,Indonesia
nusantara ubud,,11/06/2024,,26420220.0,0,,Restaurant,Indonesia
nusantara ubud,,06/02/2024,,24697500.0,0,,Restaurant,Indonesia
nusantara island resort,,08/02/2024,,15961800.0,0,,Hotel,Indonesia
nusadua graha international,,19/03/2024,Local,195110250.0,0,,Hotel,Indonesia
nusadua graha international,,12/04/2024,Local,36630000.0,0,,Hotel,Indonesia
nusadua graha international,,18/07/2024,Local,47041245.0,0,,Hotel,Indonesia
nusadua graha international,,12/07/2024,Local,15540000.0,0,,Hotel,Indonesia
nusadua graha international,,13/09/2024,Local,25308000.0,0,,Hotel,Indonesia
nusadua graha international,1DSLV00115616,26/12/2024,Local,17715600.0,72,Bali,Hotel,Indonesia
new top limited,2240820ID001,20/08/2024,Export,27507.25,1710,Taiwan,Hotel,Taiwan
new top limited,,07/10/2024,Export,9220.0,0,,Hotel,Taiwan
naughty nuris sanur,,20/11/2024,,5772000.0,0,,Restaurant,Indonesia
nativa graha saji,,01/02/2024,Local,1465200.0,0,,Restaurant,Indonesia
nativa graha saji,,18/04/2024,Local,6526800.0,0,,Restaurant,Indonesia
nativa graha saji,,02/10/2024,Local,17288250.0,0,,Restaurant,Indonesia
nativa graha saji,,23/07/2024,Local,3663000.0,0,,Restaurant,Indonesia
nativa graha saji,-,02/12/2024,Local,8652450.0,67,Bali,Restaurant,Indonesia
nativa graha saji,,08/01/2025,Local,5106000.0,0,,Restaurant,Indonesia
nae um,,27/05/2024,,500.0,0,,Restaurant,Singapore
mushka dua bali,,04/12/2023,,79032000.0,0,,Restaurant,Indonesia
mushka dua bali,,19/02/2024,,19980000.0,0,,Restaurant,Indonesia
mts investments indonesia,,24/05/2024,,9102000.0,0,,Hotel,Indonesia
mozaic ubud,,20/05/2024,,55466700.0,0,,Restaurant,Indonesia
monokuro,-,26/11/2024,Local,17815500.0,102,Bali,Restaurant,Indonesia
monokuro,,31/07/2024,Local,5661000.0,0,,Restaurant,Indonesia
mnc land tbk,,27/08/2024,,21445200.0,0,,Hotel,Indonesia
mitra mulia boga nusantara,,29/11/2023,,2530800.0,0,,Restaurant,Indonesia
mitra mulia boga nusantara,,30/07/2024,,23443200.0,0,,Restaurant,Indonesia
"mimosa cityscapes, inc.",-,29/03/2024,Export,4652.5,195,,Restaurant,Philippines
milk bar,,14/06/2024,,7059600.0,0,,Restaurant,Indonesia
michael lorenti,,20/05/2024,,3829500.0,0,,Personal,Indonesia
michael lorenti,,09/05/2024,,34365600.0,0,,Personal,Indonesia
mg hotel supplies llc,,12/12/2023,Export,864.0,0,,Agent,United Arab Emirates
mg hotel supplies llc,,10/06/2024,Export,1482.0,0,,Agent,United Arab Emirates
mg hotel supplies llc,,06/06/2024,Export,3610.0,0,,Agent,United Arab Emirates
mg hotel supplies llc,,05/06/2024,Export,348.0,0,,Agent,United Arab Emirates
mg hotel supplies llc,-,13/02/2025,Export,276.0,12,,Agent,United Arab Emirates
menara permata properti,,29/11/2023,,9768000.0,0,,Hotel,Indonesia
menara permata properti,,29/11/2023,,6660000.0,0,,Hotel,Indonesia
maya resort,,18/12/2023,Local,11683860.0,0,,Hotel,Indonesia
maya resort,,05/12/2023,Local,6327000.0,0,,Hotel,Indonesia
maya resort,,11/01/2024,Local,76683240.0,0,,Hotel,Indonesia
maya resort,,12/02/2024,Local,11810400.0,0,,Hotel,Indonesia
maya resort,,26/01/2024,Local,7492500.0,0,,Hotel,Indonesia
maya resort,,28/11/2023,Local,35483925.0,0,,Hotel,Indonesia
maya resort,,23/05/2024,Local,6696075.0,0,,Hotel,Indonesia
maya resort,,23/05/2024,Local,23304450.0,0,,Hotel,Indonesia
maya resort,,04/07/2024,Local,5994000.0,0,,Hotel,Indonesia
maya resort,,13/08/2024,Local,4745250.0,0,,Hotel,Indonesia
maya resort,P240627023,18/10/2024,Local,14985000.0,60,Bali,Hotel,Indonesia
maya resort,P240927002,30/09/2024,Local,94957725.0,528,Bali,Hotel,Indonesia
maya resort,P240927003,30/09/2024,Local,39991912.0,300,Bali,Hotel,Indonesia
maya resort,P240927005,30/09/2024,Local,22144500.0,80,Bali,Hotel,Indonesia
maya resort,P240927004,30/09/2024,Local,17741962.0,175,Bali,Hotel,Indonesia
marloe marloe indonesia,,18/10/2024,,1450.0,0,,Artist Collaboration,Indonesia
marina bay sands,,30/01/2024,,7740.0,0,,Hotel,Singapore
margaret bistro canggu,,03/10/2024,,123459750.0,0,,Restaurant,Indonesia
mandara spa indonesia,,25/04/2024,Local,21645000.0,0,,SPA,Indonesia
mandara spa indonesia,33672,13/03/2025,Local,4995000.0,50,,SPA,Indonesia
"makasar boga utama, cv",PO21499,10/01/2025,Local,11177700.0,20,Sulawesi Selatan,Restaurant,Indonesia
"makasar boga utama, cv",PO21725,30/01/2025,Local,17082900.0,60,,Restaurant,Indonesia
made by umah,,24/01/2025,Local,333000.0,0,,Personal,Indonesia
made by umah,-,05/02/2025,Local,33300000.0,100,Bali,Personal,Indonesia
made by umah,-,06/02/2025,Local,2064.600025,100,Bali,Personal,Indonesia
mactan seascapes service inc (crimson),,03/01/2024,Export,780.0,0,,Hotel,Philippines
mactan seascapes service inc (crimson),,21/05/2024,Export,9500.0,0,,Hotel,Philippines
mactan seascapes service inc (crimson),POR0000012559,26/07/2024,Export,23873.88,1981,Philipina,Hotel,Philippines
"lombok kulina utama, pt",PO21719,30/01/2025,Local,131148720.0,528,,Restaurant,Indonesia
loloan bali,,23/07/2024,Local,10267500.0,0,,Restaurant,Indonesia
loloan bali,-,29/01/2025,Local,232878000.0,920,,Restaurant,Indonesia
"loka neka jaya, pt",,13/12/2023,Local,83717050.0,0,,Restaurant,Indonesia
"loka neka jaya, pt",,18/01/2024,Local,5594400.0,0,,Restaurant,Indonesia
"loka neka jaya, pt",,18/01/2024,Local,3413250.0,0,,Restaurant,Indonesia
"loka neka jaya, pt",,21/02/2024,Local,73260000.0,0,,Restaurant,Indonesia
"loka neka jaya, pt",18112024 (NXT),15/11/2024,Local,10545000.0,50,Bali,Restaurant,Indonesia
leisure ventures langkawi sdn bhd,,24/05/2024,,10098.0,0,,Hotel,Malaysia
leisure oceans private limited (six sense kanuhura),,09/09/2024,Export,1500.0,0,,Hotel,Maldives
leisure oceans private limited (six sense kanuhura),K202501-00390,18/02/2025,Export,468.0,72,,Hotel,Maldives
leisure oceans private limited (six sense kanuhura),K202412-04717,19/12/2024,Local,1885.0,200,Maldives,Hotel,Maldives
leisure oceans private limited (six sense kanuhura),K202503-01190,17/03/2025,Export,780.0,60,,Hotel,Maldives
kreasi cipta karsa,,03/01/2024,Local,11544000.0,0,,Hotel,Indonesia
kreasi cipta karsa,,05/03/2024,Local,41070000.0,0,,Hotel,Indonesia
kreasi cipta karsa,PO202502-03407,17/02/2025,Local,189421500.0,840,Jakarta,Hotel,Indonesia
"kopi bar sela, pt",,02/01/2025,Local,5061600.0,0,,Restaurant,Indonesia
"kopi bar sela, pt",-,20/03/2025,Local,2136750.0,35,,Restaurant,Indonesia
"kopi bar sela, pt",422024,23/01/2025,Local,221850150.0,1160,Bali,Restaurant,Indonesia
kiros hospitality solutions pvt. ltd.,,25/07/2024,,2760.5,0,,Hotel,India
kevala keramik bali,,16/07/2024,Local,70462800.0,0,,Umum,Indonesia
kevala keramik bali,,16/07/2024,Local,653106240.0,0,,Umum,Indonesia
kevala keramik bali,,16/07/2024,Local,128794632.0,0,,Umum,Indonesia
kevala keramik bali,,16/07/2024,Local,407778480.0,0,,Umum,Indonesia
kevala keramik bali,,24/07/2024,Local,420725520.0,0,,Umum,Indonesia
kevala keramik bali,,17/01/2025,Local,56956320.0,0,,Umum,Indonesia
