invoice_number,Date,Company_Name,Brand_Name,Total,Customer_Category,Trade_Type,Total_Quantity,Full_Address,Country,Total_Invoice_USD
624401#08010000025220240627004962,2024-06-27,sequitur resorts pty limited (six senses fiji),Six Senses Fiji,1100.0,Hotel,Export,200.0,"Vunabaka
Malolo Islands
Fiji",Fiji,1100.0
625382#00003093043220240703000059,2024-07-03,waldorf astoria maldives ithaa fushi,Waldorf Astoria,1410.0,Hotel,Export,120.0,,Maldives,1410.0
625384#00003093043220240703000060,2024-07-03,waldorf astoria maldives ithaa fushi,Waldorf Astoria,3240.0,Hotel,Export,216.0,,Maldives,3240.0
626936#08010000025220240711005350,2024-07-12,kathryn grant,Kathryn Grant,54.2,Umum,Export,40.0,,United Kingdom,54.2
628877#08010000025220240724005723,2024-07-24,nae um,Nae UM,500.0,Restaurant,Export,100.0,,Singapore,500.0
630175#00003073291420240801000224,2024-08-02,southern dunes operations & maintenance co.,Six Sense Dunes/The Parker Company,2355.6,Hotel,Export,336.0,"Vat No. 310806936300003
Tabuk Region North of Umluj
Route5/Route 55M
The Red Sea Development Company
TRSDC
Base Camp Front of Omage Exit
Umluj City, Tabuk- 48511
Saudi Arabia",Saudi Arabia,2355.6
635894#00003001310720240906001162,2024-09-06,omer faruk yunus,Six Senses Turkey,144.0,Hotel,Export,240.0,"Fethiye Mahallesi, Ankara Lojistik Ossu, 
Yonnetim Binas D Blok No. 70-71, 
Kahramankazan, ANKARA, Turkey",Turkey,144.0
636790#00003002207220240913800127,2024-09-13,waldorf astoria maldives ithaa fushi,Waldorf Astoria,15512.0,Hotel,Export,926.0,,Maldives,15512.0
636868#00003002238320240911042001,2024-09-13,mg hotel supplies llc,MG Hotel,5092.0,Agent,Export,258.0,"#14, Al Asayel Street
Al Quoz, PO Box 31862
Dubai, United Arab Emirates",United Arab Emirates,5092.0
638921#08010000025220240928007439,2024-09-30,beyond bamboo (six senses london),Six Senses London,1546.5,Hotel,Export,108.0,"Beyond Bamboo Global LTD
82 St John Street, London, 
United Kingdom, 
EC1M 4JN",United Kingdom,1546.5
638925#08010000076620240917001918,2024-09-30,spirit real-estate development company,Grand Hyatt Kuwait,11400.0,Hotel,Export,300.0,,Kuwait,11400.0
638928#08010000025220240927007420,2024-09-30,southern dunes operations & maintenance co.,Six Sense Dunes/The Parker Company,412.5,Hotel,Export,25.0,"Vat No. 310806936300003
Tabuk Region North of Umluj
Route5/Route 55M
The Red Sea Development Company
TRSDC
Base Camp Front of Omage Exit
Umluj City, Tabuk- 48511
Saudi Arabia",Saudi Arabia,412.5
638933#08010000025220240927007424,2024-09-30,jeffrey grimes,Jeffrey Grimes,2673.0,Personal,Export,110.0,,Spain,2673.0
639896#00003001363120241007010360,2024-10-07,ali bey malidives pvt. ltd. (joali muravandhoo),Joali Muravandhoo,7686.0,Hotel,Export,396.0,"Raa Atoll, Republic of Maldives",Maldives,7686.0
640104#08010000025220241007007699,2024-10-08,jayasom amaala,Jayasom Amaala,1076.5,Hotel,Export,75.0,,Saudi Arabia,1076.5
640571#00003001364420241011000200,2024-10-11,fieldcrest enterprise,Raffless Singapore (USD),146.06,Agent,Export,161.0,,Singapore,146.06
642776#08010000076620241028001926,2024-10-29,kiros hospitality solutions pvt. ltd.,Kiros,2760.5,Hotel,Export,191.0,"Office 103, The Cubicle,
35-37 Royal Road, Phoenix, 
Mauritius",India,2760.5
