      ,Client Name,PIC,Quotation Out,Qty (Pcs), Amount (IDR) , Amount (USD) , Amount (AUD) , Amount ( EUR ) , Amount (SGD) , Remark ,Contact Person,Send By,Inquiry,Remark
,,,Purchase Order Received,,,,,,,,,,,
,,,Canceled Purchase Order,,,,,,,,,,,
,,,Order is on hold,,,,,,,,,,,
,2024,,,,,,,,,,,,,
29,Nawa Laboan Bajo - All Day Dinning Option 2,,27/Feb/24,," IDR  418,420,000 ",,,,,,,,,
30,Nawa Laboan Bajo - Ibu Tuti,,27/Feb/24,," IDR  81,660,000 ",,,,,,,,,
,,,,,,,,,,,,,,
,,,TOTAL,," IDR 4,517,944,700 "," USD  572,446.50 ", AUD  -   ,,,,,,,
,,,,,,,,,,,,,,
,Total PO Received,,,," IDR  1,483,608,000 "," USD  4,732.50 ",,,,,,,,
,Total PO Not Received,,,," IDR  3,076,716,200 "," USD  567,714.00 ",,,,,,,,
,,,,,,,,,,,,,,
,MARCH,,,,,,,,,,,,,
1,Eden - Additional,,01/Mar/24,," IDR  40,920,000 ",,,,,,,,,
2,Ibu Ming (Elaine),,01/Mar/24,," IDR  35,590,000 ",,,,,,,,,
3,Raffles Hotel Singapore,,01/Mar/24,,," USD  3,512.40 ",,,,,,,,
4,Intercontinental Bandung,,05/Mar/24,," IDR  86,592,000 ",,,,,,,,,
5,Buzo Salazon (Will Meyrick),,06/Mar/24,," IDR  69,800,000 ",,,,,,,,,
6,Grand Hyatt Jakarta (Handle Teapot),,06/Mar/24,," IDR  840,000 ",,,,,,,,,
7,Nawa Laboan Bajo - Bathroom amenities,,07/Mar/24,," IDR  335,360,000 ",,,,,,,,,
8,Shelter Canggu,,08/Mar/24,," IDR  174,139,750 ",,,,,,,,,
9,Shelter Pererenan,,08/Mar/24,," IDR  10,025,000 ",,,,,,,,,
10,Little Lane,,13/Mar/24,," IDR  210,460,000 ",,,,,,,,,
11,Milk and Madu - Uluwatu,,13/Mar/24,," IDR  69,550,000 ",,,,,,,,,
12,Four Season Jakarta SPA - Additional,,13/Mar/24,," IDR  17,610,000 ",,,,,,,,,
13,Ritz Carlton Bahrain Cantina Kahlo,,13/Mar/24,,," USD  12,335.00 ",,,,,,,,
14,Ritz Carlton Bahrain Cantina Kahlo - Additional,,13/Mar/24,,," USD  2,800.00 ",,,,,,,,
15,Hilton Bali,,14/Mar/24,," IDR  427,600,000 ",,,,,,,,,
16,Ritz Carlton Mega Kuningan,,15/Mar/24,," IDR  56,400,000 ",,,,,,,,,
17,Pan Pasicif (Park Royal) - Keyaki,,15/Mar/24,," IDR  809,922,500 ",,,,,,,,,
18,Shelter - Salt and pepper,,15/Mar/24,," IDR  3,300,000 ",,,,,,,,,
19,Mandai Rainforest Resort - ADD,,18/Mar/24,,," USD  19,900.00 ",,,,,,,,
20,Mandai Rainforest Resort - Inroom,,18/Mar/24,,,,,,,,,,,
21,Raffles Hotel Singapore,,19/Mar/24,,, USD  772.50 ,,,,,,,,
22,Milk and Madu Berawa,,20/Mar/24,," IDR  24,775,000 ",,,,,,,,,
23,Milk and Madu Beach Road,,20/Mar/24,," IDR  38,275,000 ",,,,,,,,,
24,Milk and Madu Ubud,,20/Mar/24,," IDR  6,720,000 ",,,,,,,,,
25,Ulekan,,20/Mar/24,," IDR  10,980,000 ",,,,,,,,,
26,PT Indoguna RnB Steak,,20/Mar/24,," IDR  15,770,000 ",,,,,,,,,
27,Nawa Laboan Bajo - Beach Restaurant,,20/Mar/24,," IDR  106,075,000 ",,,,,,,,,
28,Alila Seminyak ,,20/Mar/24,," IDR  15,050,000 ",,,,,,,,,
29,Nihi Sumba,,20/Mar/24,," IDR  7,000,000 ",,,,,,,,,
30,Hujan Locale ,,21/Mar/24,," IDR  5,280,000 ",,,,,,,,,
31,Marriot Hotel Tblisi,,22/Mar/24,,," USD  58,723.50 ",,,,,,,,
32,Mason Uluwatu,,25/Mar/24,," IDR  7,080,000 ",,,,,,,,,
